k,epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
16,0.1,20000,100,14,6.25,18439957942.857147,45056.0
16,0.1,20000,99,15,6.313131313131313,17541385864.571648,45970.81930415264
16,0.1,20000,98,15,6.377551020408164,17882129486.047478,46913.785922532275
16,0.1,20000,97,15,6.443298969072165,18233268180.394653,47886.06653204379
16,0.1,20000,96,15,6.510416666666667,18595233185.18519,48888.88888888889
16,0.1,20000,95,15,6.578947368421052,18968478422.160664,49923.54570637119
16,0.1,20000,94,15,6.648936170212766,19353481947.185753,50991.39882299683
16,0.1,20000,93,15,6.720430107526882,19750747509.615757,52093.88368597526
16,0.1,20000,92,15,6.793478260869565,20160806230.62382,53232.51417769377
16,0.1,20000,91,15,6.868131868131868,20584218410.98096,54408.88781548123
16,0.1,20000,90,16,6.944444444444445,19707727012.34568,55624.6913580247
16,0.1,20000,89,16,7.022471910112359,20131408216.134323,56881.70685519504
16,0.1,20000,88,16,7.1022727272727275,20569367272.727276,58181.818181818184
16,0.1,20000,87,16,7.183908045977011,21022258665.609722,59527.01810014533
16,0.1,20000,86,16,7.267441860465116,21490774948.620876,60919.41590048675
16,0.1,20000,85,16,7.352941176470588,21975649439.44636,62361.24567474047
16,0.1,20000,84,16,7.440476190476191,22477659138.321995,63854.8752834467
16,0.1,20000,83,16,7.530120481927711,22997627893.743652,65402.816083611564
16,0.1,20000,82,16,7.621951219512195,23536429839.38132,67007.73349196908
16,0.1,20000,81,16,7.716049382716049,24094993129.09617,68672.45846669715
16,0.1,20000,80,16,7.8125,24674304000.0,70400.0
16,0.1,20000,79,16,7.9113924050632916,25275411196.92357,72193.55872456337
16,0.1,20000,78,17,8.012820512820513,24375934866.380478,74056.54174884944
16,0.1,20000,77,17,8.116883116883116,24985930791.225582,75992.57884972171
16,0.1,20000,76,17,8.223684210526315,25619802561.512135,78005.54016620498
16,0.1,20000,75,17,8.333333333333334,26278822316.339867,80099.55555555556
16,0.1,20000,74,17,8.445945945945946,26964348331.542995,82279.0357925493
16,0.1,20000,73,17,8.561643835616438,27677832125.660923,84548.69581534997
16,0.1,20000,72,17,8.680555555555555,28420826259.98547,86913.58024691357
16,0.1,20000,71,17,8.80281690140845,29194992911.303776,89379.0914501091
16,0.1,20000,70,17,8.928571428571429,30002113306.122456,91951.02040816327
16,0.1,20000,69,17,9.057971014492754,30844098116.8069,94635.58076034447
16,0.1,20000,68,18,9.191176470588236,29960610103.806232,97439.44636678201
16,0.1,20000,67,18,9.328358208955224,30827630888.344353,100369.79282691023
16,0.1,20000,66,18,9.469696969696969,31733840448.933777,103434.34343434343
16,0.1,20000,65,18,9.615384615384615,32681652765.285995,106641.4201183432
16,0.1,20000,64,18,9.765625,33673671111.111107,110000.0
16,0.1,20000,63,18,9.920634920634921,34712706175.07909,113519.77828168304
16,0.1,20000,62,18,10.080645161290322,35801796240.02775,117211.23829344433
16,0.1,20000,61,18,10.245901639344263,36944229692.13772,121085.72964256922
16,0.1,20000,60,18,10.416666666666666,38143570172.83951,125155.55555555553
