k,epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
8,0.05,20000,116,8,10.775862068965518,39975401474.435196,57835.9096313912
8,0.05,20000,115,8,10.869565217391305,40647681935.72778,58846.124763705106
8,0.05,20000,114,9,10.964912280701755,36744446835.60754,59883.040935672514
8,0.05,20000,113,9,11.061946902654867,37373762937.67022,60947.60748688228
8,0.05,20000,112,9,11.160714285714286,38019796462.58503,62040.81632653061
8,0.05,20000,111,9,11.26126126126126,38683148665.061455,63163.704244785324
8,0.05,20000,110,9,11.363636363636363,39364448146.92378,64317.35537190083
8,0.05,20000,109,9,11.46788990825688,40064352365.401344,65502.903795976774
8,0.05,20000,108,9,11.574074074074074,40783549239.445206,66721.53635116598
8,0.05,20000,107,9,11.682242990654206,41522758861.4241,67974.49558913443
8,0.05,20000,106,9,11.79245283018868,42282735322.17871,69263.08294766821
8,0.05,20000,105,9,11.904761904761905,43064268658.10028,70588.66213151929
8,0.05,20000,104,9,12.01923076923077,43868186929.65155,71952.6627218935
8,0.05,20000,103,9,12.135922330097088,44695358441.57476,73356.5840324253
8,0.05,20000,102,9,12.254901960784315,45546694115.93831,74801.99923106498
8,0.05,20000,101,9,12.376237623762377,46423150030.17133,76290.55974904422
8,0.05,20000,100,9,12.5,47325730133.33333,77824.0
8,0.05,20000,99,9,12.626262626262626,48255489155.07488,79404.14243444547
8,0.05,20000,98,9,12.755102040816327,49213535723.07834,81032.9029571012
8,0.05,20000,97,9,12.88659793814433,50201035706.2387,82712.29673716654
8,0.05,20000,96,9,13.020833333333334,51219215802.46914,84444.44444444444
8,0.05,20000,95,9,13.157894736842104,52269367391.81286,86231.57894736841
8,0.05,20000,94,9,13.297872340425531,53352850677.5313,88076.05251244907
8,0.05,20000,93,9,13.440860215053764,54471099140.04188,89980.34454850273
8,0.05,20000,92,9,13.58695652173913,55625624331.0229,91947.06994328923
8,0.05,20000,91,9,13.736263736263735,56818021037.716866,93978.98804492211
8,0.05,20000,90,9,13.88888888888889,58049972850.48011,96079.01234567902
8,0.05,20000,89,9,14.044943820224718,59323258169.984146,98250.22093170053
8,0.05,20000,88,9,14.204545454545455,60639756694.21489,100495.86776859504
8,0.05,20000,87,10,14.367816091954023,55801310786.62967,102819.39490025102
8,0.05,20000,86,10,14.534883720930232,57069415147.64738,105224.4456462953
8,0.05,20000,85,10,14.705882352941176,58382099310.72664,107714.87889273356
8,0.05,20000,84,10,14.880952380952381,59741488181.40589,110294.78458049886
8,0.05,20000,83,10,15.060240963855422,61149835055.30557,112968.50050805633
8,0.05,20000,82,10,15.24390243902439,62609531050.56515,115740.63057703749
8,0.05,20000,81,10,15.432098765432098,64123115359.244,118616.06462429506
8,0.05,20000,80,10,15.625,65693286400.0,121600.00000000001
8,0.05,20000,79,10,15.822784810126583,67322913963.78786,124697.96506970038
8,0.05,20000,78,10,16.025641025641026,69015052454.96385,127915.84483892175
8,0.05,20000,77,10,16.233766233766232,70772955342.21623,131259.9089222466
8,0.05,20000,76,10,16.44736842105263,72600090947.36841,134736.84210526315
8,0.05,20000,75,10,16.666666666666668,74500159715.55557,138353.7777777778
8,0.05,20000,74,10,16.89189189189189,76477113127.83055,142118.334550767
8,0.05,20000,73,10,17.123287671232877,78535174437.23024,146038.65640833176
8,0.05,20000,72,10,17.36111111111111,80678861432.09879,150123.45679012345
8,0.05,20000,71,10,17.6056338028169,82913011456.45706,154382.06705018846
8,0.05,20000,70,10,17.857142857142858,85242808946.93878,158824.48979591837
8,0.05,20000,69,10,18.115942028985508,87673815779.87819,163461.45767695864
8,0.05,20000,68,10,18.38235294117647,90212004761.24567,168304.4982698962
8,0.05,20000,67,10,18.65671641791045,92863796637.11295,173366.00579193584
8,0.05,20000,66,10,18.939393939393938,95636101054.17815,178659.3204775023
8,0.05,20000,65,10,19.23076923076923,98536361959.76332,184198.81656804733
8,0.05,20000,64,11,19.53125,92338734545.45456,190000.0
8,0.05,20000,63,11,19.841269841269842,95230462323.00327,196079.61703199797
8,0.05,20000,62,11,20.161290322580644,98262214677.89232,202455.7752341311
8,0.05,20000,61,11,20.491803278688526,101443214588.45374,209148.07847352864
8,0.05,20000,60,11,20.833333333333332,104783458262.62627,216177.77777777775
8,0.05,20000,59,11,21.1864406779661,108293794314.06857,223567.9402470554
8,0.05,20000,58,11,21.551724137931036,111986012565.1281,231343.6385255648
8,0.05,20000,57,11,21.92982456140351,115872943838.38383,239532.16374269006
8,0.05,20000,56,11,22.321428571428573,119968572319.10945,248163.26530612243
8,0.05,20000,55,11,22.727272727272727,124288162332.08112,257269.4214876033
8,0.05,20000,54,11,23.14814814814815,128848401685.99576,266886.1454046639
8,0.05,20000,53,11,23.58490566037736,133667564107.57626,277052.33179067285
8,0.05,20000,52,11,24.03846153846154,138765693727.81067,287810.650887574
8,0.05,20000,51,11,24.50980392156863,144164815110.27228,299207.99692425993
8,0.05,20000,50,11,25.0,149889172945.45456,311296.0
8,0.05,20000,49,11,25.510204081632654,155965506299.64786,324131.6118284048
8,0.05,20000,48,11,26.041666666666668,162423363232.3232,337777.77777777775
8,0.05,20000,47,11,26.595744680851062,169295462720.27655,352304.21004979627
8,0.05,20000,46,11,27.17391304347826,176618112197.97217,367788.2797731569
8,0.05,20000,45,11,27.77777777777778,184431690702.58136,384316.04938271607
8,0.05,20000,44,12,28.40909090909091,176716108870.52344,401983.47107438016
8,0.05,20000,43,12,29.069767441860463,184907218864.25095,420897.7825851812
8,0.05,20000,42,12,29.761904761904763,193687363144.36887,441179.13832199544
8,0.05,20000,41,12,30.48780487804878,203114556510.01392,462962.52230814996
8,0.05,20000,40,12,31.25,213254144000.0,486400.00000000006
8,0.05,20000,39,12,32.05128205128205,224179941687.48627,511663.379355687
8,0.05,20000,38,12,32.89473684210526,235975590175.4386,538947.3684210526
8,0.05,20000,37,12,33.78378378378378,248736167363.03873,568473.338203068
8,0.05,20000,36,12,34.72222222222222,262570118847.73663,600493.8271604938
8,0.05,20000,35,12,35.714285714285715,277601579537.415,635297.9591836735
8,0.05,20000,34,12,36.76470588235294,293973179792.3876,673217.9930795848
8,0.05,20000,33,12,37.878787878787875,311849455231.0989,714637.2819100092
8,0.05,20000,32,12,39.0625,331421013333.3334,760000.0
8,0.05,20000,31,12,40.32258064516129,352909655109.26117,809823.1009365245
8,0.05,20000,30,12,41.666666666666664,376574710518.5185,864711.111111111
8,0.05,20000,29,12,43.10344827586207,402720927911.2168,925374.5541022592
8,0.05,20000,28,13,44.642857142857146,398500032904.2385,992653.0612244897
8,0.05,20000,27,13,46.2962962962963,428275305079.6666,1067544.5816186557
8,0.05,20000,26,13,48.07692307692308,461540486700.0456,1151242.603550296
8,0.05,20000,25,13,50.0,498864064984.6154,1245184.0
8,0.05,20000,24,13,52.083333333333336,540935264273.50433,1351111.111111111
