k,epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
8,0.1,20000,116,13,10.775862068965518,24600247061.190887,57835.9096313912
8,0.1,20000,115,14,10.869565217391305,23227246820.415882,58846.124763705106
8,0.1,20000,114,14,10.964912280701755,23621430108.604843,59883.040935672514
8,0.1,20000,113,14,11.061946902654867,24025990459.930855,60947.60748688228
8,0.1,20000,112,14,11.160714285714286,24441297725.94752,62040.81632653061
8,0.1,20000,111,14,11.26126126126126,24867738427.539505,63163.704244785324
8,0.1,20000,110,14,11.363636363636363,25305716665.879574,64317.35537190083
8,0.1,20000,109,14,11.46788990825688,25755655092.04372,65502.903795976774
8,0.1,20000,108,14,11.574074074074074,26217995939.64335,66721.53635116598
8,0.1,20000,107,14,11.682242990654206,26693202125.201206,67974.49558913443
8,0.1,20000,106,14,11.79245283018868,27181758421.400597,69263.08294766821
8,0.1,20000,105,14,11.904761904761905,27684172708.77875,70588.66213151929
8,0.1,20000,104,14,12.01923076923077,28200977311.918846,71952.6627218935
8,0.1,20000,103,15,12.135922330097088,26817215064.94486,73356.5840324253
8,0.1,20000,102,15,12.254901960784315,27328016469.562992,74801.99923106498
8,0.1,20000,101,15,12.376237623762377,27853890018.102795,76290.55974904422
8,0.1,20000,100,15,12.5,28395438080.000008,77824.0
8,0.1,20000,99,15,12.626262626262626,28953293493.044933,79404.14243444547
8,0.1,20000,98,15,12.755102040816327,29528121433.847008,81032.9029571012
8,0.1,20000,97,15,12.88659793814433,30120621423.74322,82712.29673716654
8,0.1,20000,96,15,13.020833333333334,30731529481.481483,84444.44444444444
8,0.1,20000,95,15,13.157894736842104,31361620435.087715,86231.57894736841
8,0.1,20000,94,15,13.297872340425531,32011710406.51878,88076.05251244907
8,0.1,20000,93,15,13.440860215053764,32682659484.02513,89980.34454850273
8,0.1,20000,92,15,13.58695652173913,33375374598.613743,91947.06994328923
8,0.1,20000,91,15,13.736263736263735,34090812622.630116,93978.98804492211
8,0.1,20000,90,16,13.88888888888889,32653109728.39506,96079.01234567902
8,0.1,20000,89,16,14.044943820224718,33369332720.61608,98250.22093170053
8,0.1,20000,88,16,14.204545454545455,34109863140.495876,100495.86776859504
8,0.1,20000,87,16,14.367816091954023,34875819241.64355,102819.39490025102
8,0.1,20000,86,16,14.534883720930232,35668384467.27961,105224.4456462953
8,0.1,20000,85,16,14.705882352941176,36488812069.20415,107714.87889273356
8,0.1,20000,84,16,14.880952380952381,37338430113.378685,110294.78458049886
8,0.1,20000,83,16,15.060240963855422,38218646909.56598,112968.50050805633
8,0.1,20000,82,16,15.24390243902439,39130956906.60321,115740.63057703749
8,0.1,20000,81,16,15.432098765432098,40076947099.527504,118616.06462429506
8,0.1,20000,80,16,15.625,41058304000.00001,121600.00000000001
8,0.1,20000,79,16,15.822784810126583,42076821227.36741,124697.96506970038
8,0.1,20000,78,17,16.025641025641026,40597089679.39049,127915.84483892175
8,0.1,20000,77,17,16.233766233766232,41631150201.303665,131259.9089222466
8,0.1,20000,76,17,16.44736842105263,42705935851.39318,134736.84210526315
8,0.1,20000,75,17,16.666666666666668,43823623362.09151,138353.7777777778
8,0.1,20000,74,17,16.89189189189189,44986537134.01797,142118.334550767
8,0.1,20000,73,17,17.123287671232877,46197161433.664856,146038.65640833176
8,0.1,20000,72,17,17.36111111111111,47458153783.58751,150123.45679012345
8,0.1,20000,71,17,17.6056338028169,48772359680.26885,154382.06705018846
8,0.1,20000,70,17,17.857142857142858,50142828792.31693,158824.48979591837
8,0.1,20000,69,17,18.115942028985508,51572832811.69305,163461.45767695864
8,0.1,20000,68,18,18.38235294117647,50117780422.91426,168304.4982698962
8,0.1,20000,67,18,18.65671641791045,51590998131.72942,173366.00579193584
8,0.1,20000,66,18,18.939393939393938,53131167252.32119,178659.3204775023
8,0.1,20000,65,18,19.23076923076923,54742423310.979614,184198.81656804733
8,0.1,20000,64,18,19.53125,56429226666.666664,190000.0
8,0.1,20000,63,18,19.841269841269842,58196393641.835335,196079.61703199797
8,0.1,20000,62,18,20.161290322580644,60049131192.04532,202455.7752341311
8,0.1,20000,61,18,20.491803278688526,61993075581.832855,209148.07847352864
8,0.1,20000,60,18,20.833333333333332,64034335604.93827,216177.77777777775
8,0.1,20000,59,19,21.1864406779661,62696407234.46075,223567.9402470554
8,0.1,20000,58,19,21.551724137931036,64834007274.547844,231343.6385255648
8,0.1,20000,57,19,21.92982456140351,67084335906.43276,239532.16374269006
8,0.1,20000,56,19,22.321428571428573,69455489237.37917,248163.26530612243
8,0.1,20000,55,19,22.727272727272727,71956304508.04698,257269.4214876033
8,0.1,20000,54,19,23.14814814814815,74596443081.36597,266886.1454046639
8,0.1,20000,53,19,23.58490566037736,77386484483.33363,277052.33179067285
8,0.1,20000,52,19,24.03846153846154,80338033210.83777,287810.650887574
8,0.1,20000,51,20,24.50980392156863,79290648310.64977,299207.99692425993
8,0.1,20000,50,20,25.0,82439045120.0,311296.0
8,0.1,20000,49,20,25.510204081632654,85781028464.80632,324131.6118284048
8,0.1,20000,48,20,26.041666666666668,89332849777.77777,337777.77777777775
8,0.1,20000,47,20,26.595744680851062,93112504496.15208,352304.21004979627
8,0.1,20000,46,20,27.17391304347826,97139961708.88469,367788.2797731569
8,0.1,20000,45,20,27.77777777777778,101437429886.41975,384316.04938271607
8,0.1,20000,44,20,28.40909090909091,106029665322.31404,401983.47107438016
8,0.1,20000,43,21,29.069767441860463,105661267922.42911,420897.7825851812
8,0.1,20000,42,21,29.761904761904763,110678493225.35364,441179.13832199544
8,0.1,20000,41,21,30.48780487804878,116065460862.8651,462962.52230814996
8,0.1,20000,40,21,31.25,121859510857.14287,486400.00000000006
8,0.1,20000,39,21,32.05128205128205,128102823821.42075,511663.379355687
8,0.1,20000,38,21,32.89473684210526,134843194385.96489,538947.3684210526
8,0.1,20000,37,22,33.78378378378378,135674273107.11205,568473.338203068
8,0.1,20000,36,22,34.72222222222222,143220064826.03815,600493.8271604938
8,0.1,20000,35,22,35.714285714285715,151419043384.04453,635297.9591836735
8,0.1,20000,34,22,36.76470588235294,160349007159.4841,673217.9930795848
