k,epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
16,0.1,5000,25,6,6.25,43026568533.333336,180224.0
16,0.1,5000,24,6,6.510416666666667,46488082962.96297,195555.55555555556
16,0.1,5000,23,6,6.793478260869565,50402015576.559555,212930.05671077507
16,0.1,5000,22,6,7.1022727272727275,54851646060.606064,232727.27272727274
16,0.1,5000,21,6,7.440476190476191,59940424368.85865,255419.5011337868
16,0.1,5000,20,6,7.8125,65798144000.0,281600.0
16,0.1,5000,19,6,8.223684210526315,72589440590.95107,312022.16066481994
16,0.1,5000,18,6,8.680555555555555,80525674403.29218,347654.32098765427
16,0.1,5000,17,6,9.191176470588236,89881830311.41869,389757.78546712804
16,0.1,5000,16,6,9.765625,101021013333.33334,440000.0
16,0.1,5000,15,6,10.416666666666666,114430710518.51851,500622.22222222213
16,0.1,5000,14,6,11.160714285714286,130777756734.69386,574693.8775510205
16,0.1,5000,13,6,12.01923076923077,150993909901.3807,666508.8757396451
16,0.1,5000,12,6,13.020833333333334,176413202962.96295,782222.2222222222
16,0.1,5000,11,6,14.204545454545455,209000261818.18182,930909.0909090909
16,0.1,5000,10,7,15.625,215781961142.85718,1126400.0
16,0.1,5000,9,7,17.36111111111111,265186164938.27158,1390617.283950617
16,0.1,5000,8,7,19.53125,334093165714.28577,1760000.0
16,0.1,5000,7,7,22.321428571428573,434364201049.56274,2298775.510204082
16,0.1,5000,6,7,26.041666666666668,588492474920.6349,3128888.888888889
16,0.1,5000,5,7,31.25,843504493714.2858,4505600.0
16,0.1,5000,4,7,39.0625,1311843474285.7144,7040000.0
16,0.1,5000,3,7,52.083333333333336,2321264314920.635,12515555.555555556
16,0.1,5000,2,7,78.125,5198315520000.001,28160000.0
16,0.1,5000,1,7,156.25,20695145325714.29,112640000.0
