k,epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
16,0.05,20000,100,9,6.25,28684379022.22222,45056.0
16,0.05,20000,99,9,6.313131313131313,29235643107.619404,45970.81930415264
16,0.05,20000,98,9,6.377551020408164,29803549143.41246,46913.785922532275
16,0.05,20000,97,9,6.443298969072165,30388780300.65776,47886.06653204379
16,0.05,20000,96,9,6.510416666666667,30992055308.641975,48888.88888888889
16,0.05,20000,95,9,6.578947368421052,31614130703.60111,49923.54570637119
16,0.05,20000,94,9,6.648936170212766,32255803245.30959,50991.39882299683
16,0.05,20000,93,9,6.720430107526882,32917912516.026264,52093.88368597526
16,0.05,20000,92,9,6.793478260869565,33601343717.70637,53232.51417769377
16,0.05,20000,91,9,6.868131868131868,34307030684.96827,54408.88781548123
16,0.05,20000,90,9,6.944444444444445,35035959133.05898,55624.6913580247
16,0.05,20000,89,9,7.022471910112359,35789170162.01658,56881.70685519504
16,0.05,20000,88,9,7.1022727272727275,36567764040.404045,58181.818181818184
16,0.05,20000,87,10,7.183908045977011,33635613864.975555,59527.01810014533
16,0.05,20000,86,10,7.267441860465116,34385239917.793396,60919.41590048675
16,0.05,20000,85,10,7.352941176470588,35161039103.11418,62361.24567474047
16,0.05,20000,84,10,7.440476190476191,35964254621.315186,63854.8752834467
16,0.05,20000,83,10,7.530120481927711,36796204629.989845,65402.816083611564
16,0.05,20000,82,10,7.621951219512195,37658287743.01012,67007.73349196908
16,0.05,20000,81,10,7.716049382716049,38551989006.55387,68672.45846669715
16,0.05,20000,80,10,7.8125,39478886400.00001,70400.0
16,0.05,20000,79,10,7.9113924050632916,40440657915.07771,72193.55872456337
16,0.05,20000,78,10,8.012820512820513,41439089272.84681,74056.54174884944
16,0.05,20000,77,10,8.116883116883116,42476082345.083496,75992.57884972171
16,0.05,20000,76,10,8.223684210526315,43553664354.570625,78005.54016620498
16,0.05,20000,75,10,8.333333333333334,44673997937.77778,80099.55555555556
16,0.05,20000,74,10,8.445945945945946,45839392163.62309,82279.0357925493
16,0.05,20000,73,10,8.561643835616438,47052314613.62356,84548.69581534997
16,0.05,20000,72,10,8.680555555555555,48315404641.97531,86913.58024691357
16,0.05,20000,71,10,8.80281690140845,49631487949.21642,89379.0914501091
16,0.05,20000,70,10,8.928571428571429,51003592620.40817,91951.02040816327
16,0.05,20000,69,10,9.057971014492754,52434966798.57173,94635.58076034447
16,0.05,20000,68,10,9.191176470588236,53929098186.85121,97439.44636678201
16,0.05,20000,67,10,9.328358208955224,55489735599.01983,100369.79282691023
16,0.05,20000,66,10,9.469696969696969,57120912808.08081,103434.34343434343
16,0.05,20000,65,10,9.615384615384615,58826974977.51479,106641.4201183432
16,0.05,20000,64,11,9.765625,55102370909.09092,110000.0
16,0.05,20000,63,11,9.920634920634921,56802610104.674866,113519.77828168304
16,0.05,20000,62,11,10.080645161290322,58584757483.68177,117211.23829344433
16,0.05,20000,61,11,10.245901639344263,60454194041.6799,121085.72964256922
16,0.05,20000,60,11,10.416666666666666,62416751191.91919,125155.55555555553
16,0.05,20000,59,11,10.59322033898305,64478756837.89925,129434.07066934789
16,0.05,20000,58,11,10.775862068965518,66647087043.56286,133935.79072532698
16,0.05,20000,57,11,10.964912280701755,68929224092.44801,138676.5158510311
16,0.05,20000,56,11,11.160714285714286,71333321855.28757,143673.46938775512
16,0.05,20000,55,11,11.363636363636363,73868279537.19008,148945.45454545453
16,0.05,20000,54,11,11.574074074074074,76543825055.4932,154513.03155006858
16,0.05,20000,53,11,11.79245283018868,79370609513.57648,160398.71840512636
16,0.05,20000,52,11,12.01923076923077,82360314491.66222,166627.21893491127
16,0.05,20000,51,11,12.254901960784315,85525774181.958,173225.6824298347
16,0.05,20000,50,11,12.5,88881114763.63637,180224.0
16,0.05,20000,49,11,12.755102040816327,92441913857.105,187655.1436901291
16,0.05,20000,48,11,13.020833333333334,96225383434.34341,195555.55555555556
16,0.05,20000,47,11,13.297872340425531,100250580214.82365,203965.59529198732
16,0.05,20000,46,11,13.58695652173913,104538648372.57262,212930.05671077507
16,0.05,20000,45,11,13.88888888888889,109113100354.6577,222498.7654320988
16,0.05,20000,44,12,14.204545454545455,104500130909.09091,232727.27272727274
16,0.05,20000,43,12,14.534883720930232,109293301431.40434,243677.663601947
16,0.05,20000,42,12,14.880952380952381,114429917944.06653,255419.5011337868
16,0.05,20000,41,12,15.24390243902439,119943745484.83046,268030.9339678763
16,0.05,20000,40,12,15.625,125872810666.66669,281600.0
16,0.05,20000,39,12,16.025641025641026,132260064413.76286,296226.16699539777
16,0.05,20000,38,12,16.44736842105263,139154168199.44598,312022.16066481994
16,0.05,20000,37,12,16.89189189189189,146610430815.68054,329116.1431701972
16,0.05,20000,36,12,17.36111111111111,154691929547.3251,347654.32098765427
16,0.05,20000,35,12,17.857142857142858,163470858448.9796,367804.0816326531
16,0.05,20000,34,12,18.38235294117647,173030157877.73935,389757.78546712804
16,0.05,20000,33,12,18.939393939393938,183465494410.7744,413737.37373737374
16,0.05,20000,32,12,19.53125,194887680000.0,440000.0
16,0.05,20000,31,12,20.161290322580644,207425645397.15576,468844.9531737773
16,0.05,20000,30,12,20.833333333333332,221230117925.9259,500622.22222222213
16,0.05,20000,29,12,21.551724137931036,236478200998.81094,535743.1629013079
16,0.05,20000,28,13,22.321428571428573,233888415949.7645,574693.8775510205
16,0.05,20000,27,13,23.14814814814815,251244430330.27332,618052.1262002743
16,0.05,20000,26,13,24.03846153846154,270629972362.31232,666508.8757396451
16,0.05,20000,25,13,25.0,292375252676.92316,720896.0
16,0.05,20000,24,13,26.041666666666668,316880563418.80347,782222.2222222222
16,0.05,20000,23,13,27.17391304347826,344634926531.9181,851720.2268431003
16,0.05,20000,22,13,28.40909090909091,376240801118.88116,930909.0909090909
16,0.05,20000,21,13,29.761904761904763,412447209405.1979,1021678.0045351472
16,0.05,20000,20,13,31.25,454194727384.6154,1126400.0
16,0.05,20000,19,13,32.89473684210526,502677458614.9584,1248088.6426592798
16,0.05,20000,18,13,34.72222222222222,559429735080.7217,1390617.283950617
16,0.05,20000,17,13,36.76470588235294,626449500942.2412,1559031.1418685121
16,0.05,20000,16,13,39.0625,706377255384.6155,1760000.0
16,0.05,20000,15,13,41.666666666666664,802761106598.2904,2002488.8888888885
16,0.05,20000,14,13,44.642857142857146,920458778524.3328,2298775.510204082
16,0.05,20000,13,14,48.07692307692308,990102154928.1488,2666035.5029585804
16,0.05,20000,12,14,52.083333333333336,1160632157460.3174,3128888.888888889
16,0.05,20000,11,14,56.81818181818182,1379626422857.1426,3723636.3636363638
16,0.05,20000,10,14,62.5,1667385636571.4287,4505600.0
16,0.05,20000,9,14,69.44444444444444,2056078149982.3633,5562469.135802468
16,0.05,20000,8,14,78.125,2599157760000.0005,7040000.0
16,0.05,20000,7,14,89.28571428571429,3390813533294.461,9195102.040816328
16,0.05,20000,6,14,104.16666666666667,4609823045079.365,12515555.555555556
16,0.05,20000,5,14,125.0,6630295844571.43,18022400.0
16,0.05,20000,4,14,156.25,10347572662857.145,28160000.0
16,0.05,20000,3,14,208.33333333333334,18373881010793.652,50062222.222222224
16,0.05,20000,2,14,312.5,41292173897142.86,112640000.0
16,0.05,20000,1,15,625.0,153974297941333.3,450560000.0
