k,epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
16,0.05,10000,50,5,6.25,51631882240.0,90112.0
16,0.05,10000,49,5,6.377551020408164,53646388458.142426,93827.57184506455
16,0.05,10000,48,5,6.510416666666667,55785699555.55556,97777.77777777778
16,0.05,10000,47,6,6.648936170212766,48383704867.964386,101982.79764599366
16,0.05,10000,46,6,6.793478260869565,50402015576.559555,106465.02835538753
16,0.05,10000,45,6,6.944444444444445,52553938699.58849,111249.3827160494
16,0.05,10000,44,6,7.1022727272727275,54851646060.606064,116363.63636363637
16,0.05,10000,43,6,7.267441860465116,57308733196.322334,121838.8318009735
16,0.05,10000,42,6,7.440476190476191,59940424368.85865,127709.7505668934
16,0.05,10000,41,6,7.621951219512195,62763812905.01686,134015.46698393815
16,0.05,10000,40,6,7.8125,65798144000.0,140800.0
16,0.05,10000,39,6,8.012820512820513,69065148788.078,148113.08349769888
16,0.05,10000,38,6,8.223684210526315,72589440590.95107,156011.08033240997
16,0.05,10000,37,6,8.445945945945946,76398986939.3718,164558.0715850986
16,0.05,10000,36,6,8.680555555555555,80525674403.29218,173827.16049382713
16,0.05,10000,35,6,8.928571428571429,85005987700.68028,183902.04081632654
16,0.05,10000,34,6,9.191176470588236,89881830311.41869,194878.89273356402
16,0.05,10000,33,6,9.469696969696969,95201521346.80135,206868.68686868687
16,0.05,10000,32,6,9.765625,101021013333.33334,220000.0
16,0.05,10000,31,6,10.080645161290322,107405388720.08325,234422.47658688866
16,0.05,10000,30,6,10.416666666666666,114430710518.51851,250311.11111111107
16,0.05,10000,29,6,10.775862068965518,122186326246.5319,267871.58145065396
16,0.05,10000,28,6,11.160714285714286,130777756734.69386,287346.93877551024
16,0.05,10000,27,6,11.574074074074074,140330345935.07083,309026.06310013717
16,0.05,10000,26,6,12.01923076923077,150993909901.3807,333254.43786982255
16,0.05,10000,25,6,12.5,162948710400.0,360448.0
16,0.05,10000,24,6,13.020833333333334,176413202962.96295,391111.1111111111
16,0.05,10000,23,6,13.58695652173913,191654188683.0498,425860.11342155014
16,0.05,10000,22,6,14.204545454545455,209000261818.18182,465454.54545454547
16,0.05,10000,21,6,14.880952380952381,228859835888.13306,510839.0022675736
16,0.05,10000,20,6,15.625,251745621333.33337,563200.0
16,0.05,10000,19,6,16.44736842105263,278308336398.89197,624044.3213296399
16,0.05,10000,18,6,17.36111111111111,309383859094.6502,695308.6419753085
16,0.05,10000,17,7,18.38235294117647,296623127790.4103,779515.5709342561
16,0.05,10000,16,7,19.53125,334093165714.28577,880000.0
16,0.05,10000,15,7,20.833333333333332,379251630730.1587,1001244.4444444443
16,0.05,10000,14,7,22.321428571428573,434364201049.56274,1149387.755102041
16,0.05,10000,13,7,24.03846153846154,502598520101.43713,1333017.7514792902
16,0.05,10000,12,7,26.041666666666668,588492474920.6349,1564444.4444444445
16,0.05,10000,11,7,28.40909090909091,698732916363.6364,1861818.1818181819
16,0.05,10000,10,7,31.25,843504493714.2858,2252800.0
16,0.05,10000,9,7,34.72222222222222,1038940936578.4833,2781234.567901234
16,0.05,10000,8,7,39.0625,1311843474285.7144,3520000.0
16,0.05,10000,7,7,44.642857142857146,1709423445830.904,4597551.020408164
16,0.05,10000,6,7,52.083333333333336,2321264314920.635,6257777.777777778
16,0.05,10000,5,7,62.5,3334771273142.8574,9011200.0
16,0.05,10000,4,7,78.125,5198315520000.001,14080000.0
16,0.05,10000,3,7,104.16666666666667,9219646090158.73,25031111.111111112
16,0.05,10000,2,7,156.25,20695145325714.29,56320000.0
16,0.05,10000,1,7,312.5,82584347794285.72,225280000.0
