k,epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
8,0.1,5000,30,5,10.416666666666666,59920292977.77778,216177.77777777775
8,0.1,5000,29,5,10.775862068965518,63960642359.09632,231343.6385255648
8,0.1,5000,28,6,11.160714285714286,57029694693.877556,248163.26530612243
8,0.1,5000,27,6,11.574074074074074,61175323859.16781,266886.1454046639
8,0.1,5000,26,6,12.01923076923077,65802280394.477325,287810.650887574
8,0.1,5000,25,6,12.5,70988595200.0,311296.0
8,0.1,5000,24,6,13.020833333333334,76828823703.7037,337777.77777777775
8,0.1,5000,23,6,13.58695652173913,83438436496.53435,367788.2797731569
8,0.1,5000,22,6,14.204545454545455,90959635041.32231,401983.47107438016
8,0.1,5000,21,6,14.880952380952381,99569146969.00984,441179.13832199544
8,0.1,5000,20,6,15.625,109488810666.66669,486400.00000000006
8,0.1,5000,19,6,16.44736842105263,121000151578.94736,538947.3684210526
8,0.1,5000,18,6,17.36111111111111,134464769053.49796,600493.8271604938
8,0.1,5000,17,6,18.38235294117647,150353341268.74283,673217.9930795848
8,0.1,5000,16,6,19.53125,169287680000.0,760000.0
8,0.1,5000,15,6,20.833333333333332,192103006814.8148,864711.111111111
8,0.1,5000,14,6,22.321428571428573,219942382585.034,992653.0612244897
8,0.1,5000,13,6,24.03846153846154,254403771834.31958,1151242.603550296
8,0.1,5000,12,6,26.041666666666668,297776165925.9259,1351111.111111111
8,0.1,5000,11,6,28.40909090909091,353432217741.0469,1607933.8842975206
8,0.1,5000,10,7,31.25,365578532571.4286,1945600.0000000002
8,0.1,5000,9,7,34.72222222222222,450120203738.9771,2401975.3086419753
8,0.1,5000,8,7,39.0625,568150308571.4286,3040000.0
8,0.1,5000,7,7,44.642857142857146,740071489679.3003,3970612.244897959
8,0.1,5000,6,7,52.083333333333336,1004594062222.2224,5404444.444444444
8,0.1,5000,5,7,62.5,1442690779428.5718,7782400.000000001
8,0.1,5000,4,7,78.125,2248072045714.286,12160000.0
8,0.1,5000,3,7,104.16666666666667,3985670664126.9844,21617777.777777776
8,0.1,5000,2,7,156.25,8943229805714.287,48640000.0
8,0.1,5000,1,7,312.5,35674802468571.43,194560000.0
