k,epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
16,0.05,5000,25,3,6.25,86053137066.66667,180224.0
16,0.05,5000,24,3,6.510416666666667,92976165925.92593,195555.55555555556
16,0.05,5000,23,3,6.793478260869565,100804031153.11911,212930.05671077507
16,0.05,5000,22,3,7.1022727272727275,109703292121.21213,232727.27272727274
16,0.05,5000,21,3,7.440476190476191,119880848737.7173,255419.5011337868
16,0.05,5000,20,3,7.8125,131596288000.0,281600.0
16,0.05,5000,19,3,8.223684210526315,145178881181.90213,312022.16066481994
16,0.05,5000,18,3,8.680555555555555,161051348806.58435,347654.32098765427
16,0.05,5000,17,3,9.191176470588236,179763660622.83737,389757.78546712804
16,0.05,5000,16,3,9.765625,202042026666.6667,440000.0
16,0.05,5000,15,3,10.416666666666666,228861421037.03702,500622.22222222213
16,0.05,5000,14,3,11.160714285714286,261555513469.38773,574693.8775510205
16,0.05,5000,13,3,12.01923076923077,301987819802.7614,666508.8757396451
16,0.05,5000,12,3,13.020833333333334,352826405925.9259,782222.2222222222
16,0.05,5000,11,3,14.204545454545455,418000523636.36365,930909.0909090909
16,0.05,5000,10,3,15.625,503491242666.66675,1126400.0
16,0.05,5000,9,3,17.36111111111111,618767718189.3004,1390617.283950617
16,0.05,5000,8,3,19.53125,779550720000.0,1760000.0
16,0.05,5000,7,3,22.321428571428573,1013516469115.6464,2298775.510204082
16,0.05,5000,6,3,26.041666666666668,1373149108148.148,3128888.888888889
16,0.05,5000,5,3,31.25,1968177152000.0,4505600.0
16,0.05,5000,4,3,39.0625,3060968106666.667,7040000.0
16,0.05,5000,3,3,52.083333333333336,5416283401481.481,12515555.555555556
16,0.05,5000,2,3,78.125,12129402880000.0,28160000.0
16,0.05,5000,1,3,156.25,48288672426666.67,112640000.0
