k,epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
16,0.1,10000,50,10,6.25,25815941120.0,90112.0
16,0.1,10000,49,10,6.377551020408164,26823194229.071213,93827.57184506455
16,0.1,10000,48,10,6.510416666666667,27892849777.77778,97777.77777777778
16,0.1,10000,47,10,6.648936170212766,29030222920.77863,101982.79764599366
16,0.1,10000,46,10,6.793478260869565,30241209345.935726,106465.02835538753
16,0.1,10000,45,10,6.944444444444445,31532363219.75309,111249.3827160494
16,0.1,10000,44,10,7.1022727272727275,32910987636.363636,116363.63636363637
16,0.1,10000,43,10,7.267441860465116,34385239917.793396,121838.8318009735
16,0.1,10000,42,10,7.440476190476191,35964254621.315186,127709.7505668934
16,0.1,10000,41,10,7.621951219512195,37658287743.01012,134015.46698393815
16,0.1,10000,40,10,7.8125,39478886400.00001,140800.0
16,0.1,10000,39,11,8.012820512820513,37671899338.95165,148113.08349769888
16,0.1,10000,38,11,8.223684210526315,39594240322.336945,156011.08033240997
16,0.1,10000,37,11,8.445945945945946,41672174694.202805,164558.0715850986
16,0.1,10000,36,11,8.680555555555555,43923095129.06846,173827.16049382713
16,0.1,10000,35,11,8.928571428571429,46366902382.18924,183902.04081632654
16,0.1,10000,34,11,9.191176470588236,49026452897.13747,194878.89273356402
16,0.1,10000,33,11,9.469696969696969,51928102552.800735,206868.68686868687
16,0.1,10000,32,11,9.765625,55102370909.09092,220000.0
16,0.1,10000,31,11,10.080645161290322,58584757483.68177,234422.47658688866
16,0.1,10000,30,11,10.416666666666666,62416751191.91919,250311.11111111107
16,0.1,10000,29,11,10.775862068965518,66647087043.56286,267871.58145065396
16,0.1,10000,28,11,11.160714285714286,71333321855.28757,287346.93877551024
16,0.1,10000,27,12,11.574074074074074,70165172967.53542,309026.06310013717
16,0.1,10000,26,12,12.01923076923077,75496954950.69035,333254.43786982255
16,0.1,10000,25,12,12.5,81474355200.0,360448.0
16,0.1,10000,24,12,13.020833333333334,88206601481.48148,391111.1111111111
16,0.1,10000,23,12,13.58695652173913,95827094341.5249,425860.11342155014
16,0.1,10000,22,12,14.204545454545455,104500130909.09091,465454.54545454547
16,0.1,10000,21,12,14.880952380952381,114429917944.06653,510839.0022675736
16,0.1,10000,20,12,15.625,125872810666.66669,563200.0
16,0.1,10000,19,12,16.44736842105263,139154168199.44598,624044.3213296399
16,0.1,10000,18,12,17.36111111111111,154691929547.3251,695308.6419753085
16,0.1,10000,17,13,18.38235294117647,159720145733.29788,779515.5709342561
16,0.1,10000,16,13,19.53125,179896320000.00003,880000.0
16,0.1,10000,15,13,20.833333333333332,204212416547.0085,1001244.4444444443
16,0.1,10000,14,13,22.321428571428573,233888415949.7645,1149387.755102041
16,0.1,10000,13,13,24.03846153846154,270629972362.31232,1333017.7514792902
16,0.1,10000,12,13,26.041666666666668,316880563418.80347,1564444.4444444445
16,0.1,10000,11,13,28.40909090909091,376240801118.88116,1861818.1818181819
16,0.1,10000,10,13,31.25,454194727384.6154,2252800.0
16,0.1,10000,9,13,34.72222222222222,559429735080.7217,2781234.567901234
16,0.1,10000,8,14,39.0625,655921737142.8572,3520000.0
16,0.1,10000,7,14,44.642857142857146,854711722915.452,4597551.020408164
16,0.1,10000,6,14,52.083333333333336,1160632157460.3174,6257777.777777778
16,0.1,10000,5,14,62.5,1667385636571.4287,9011200.0
16,0.1,10000,4,14,78.125,2599157760000.0005,14080000.0
16,0.1,10000,3,14,104.16666666666667,4609823045079.365,25031111.111111112
16,0.1,10000,2,14,156.25,10347572662857.145,56320000.0
16,0.1,10000,1,14,312.5,41292173897142.86,225280000.0
