k,epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
8,0.05,5000,30,3,10.416666666666666,99867154962.96295,216177.77777777775
8,0.05,5000,29,3,10.775862068965518,106601070598.49387,231343.6385255648
8,0.05,5000,28,3,11.160714285714286,114059389387.75511,248163.26530612243
8,0.05,5000,27,3,11.574074074074074,122350647718.33562,266886.1454046639
8,0.05,5000,26,3,12.01923076923077,131604560788.95465,287810.650887574
8,0.05,5000,25,3,12.5,141977190400.0,311296.0
8,0.05,5000,24,3,13.020833333333334,153657647407.4074,337777.77777777775
8,0.05,5000,23,3,13.58695652173913,166876872993.0687,367788.2797731569
8,0.05,5000,22,3,14.204545454545455,181919270082.64462,401983.47107438016
8,0.05,5000,21,3,14.880952380952381,199138293938.01968,441179.13832199544
8,0.05,5000,20,3,15.625,218977621333.33337,486400.00000000006
8,0.05,5000,19,3,16.44736842105263,242000303157.8947,538947.3684210526
8,0.05,5000,18,3,17.36111111111111,268929538106.9959,600493.8271604938
8,0.05,5000,17,3,18.38235294117647,300706682537.48566,673217.9930795848
8,0.05,5000,16,3,19.53125,338575360000.0,760000.0
8,0.05,5000,15,3,20.833333333333332,384206013629.6296,864711.111111111
8,0.05,5000,14,3,22.321428571428573,439884765170.068,992653.0612244897
8,0.05,5000,13,3,24.03846153846154,508807543668.63916,1151242.603550296
8,0.05,5000,12,3,26.041666666666668,595552331851.8518,1351111.111111111
8,0.05,5000,11,3,28.40909090909091,706864435482.0938,1607933.8842975206
8,0.05,5000,10,3,31.25,853016576000.0,1945600.0000000002
8,0.05,5000,9,3,34.72222222222222,1050280475390.9465,2401975.3086419753
8,0.05,5000,8,3,39.0625,1325684053333.3335,3040000.0
8,0.05,5000,7,3,44.642857142857146,1726833475918.3674,3970612.244897959
8,0.05,5000,6,3,52.083333333333336,2344052811851.852,5404444.444444444
8,0.05,5000,5,3,62.5,3366278485333.334,7782400.000000001
8,0.05,5000,4,3,78.125,5245501440000.0,12160000.0
8,0.05,5000,3,3,104.16666666666667,9299898216296.297,21617777.777777776
8,0.05,5000,2,3,156.25,20867536213333.336,48640000.0
8,0.05,5000,1,3,312.5,83241205760000.0,194560000.0
