k,epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
8,0.05,10000,59,5,10.59322033898305,61889781042.22924,111783.9701235277
8,0.05,10000,58,5,10.775862068965518,63960642359.09632,115671.8192627824
8,0.05,10000,57,5,10.964912280701755,66140004304.093575,119766.08187134503
8,0.05,10000,56,5,11.160714285714286,68435633632.65306,124081.63265306121
8,0.05,10000,55,5,11.363636363636363,70856006664.46281,128634.71074380165
8,0.05,10000,54,5,11.574074074074074,73410388631.00139,133443.07270233196
8,0.05,10000,53,5,11.79245283018868,76108923579.92168,138526.16589533642
8,0.05,10000,52,5,12.01923076923077,78962736473.37279,143905.325443787
8,0.05,10000,51,5,12.254901960784315,81984049408.68896,149603.99846212997
8,0.05,10000,50,5,12.5,85186314240.0,155648.0
8,0.05,10000,49,5,12.755102040816327,88584364301.541,162065.8059142024
8,0.05,10000,48,6,13.020833333333334,76828823703.7037,168888.88888888888
8,0.05,10000,47,6,13.297872340425531,80029276016.29695,176152.10502489813
8,0.05,10000,46,6,13.58695652173913,83438436496.53435,183894.13988657846
8,0.05,10000,45,6,13.88888888888889,87074959275.72017,192158.02469135803
8,0.05,10000,44,6,14.204545454545455,90959635041.32231,200991.73553719008
8,0.05,10000,43,6,14.534883720930232,95115691912.7456,210448.8912925906
8,0.05,10000,42,6,14.880952380952381,99569146969.00984,220589.56916099772
8,0.05,10000,41,6,15.24390243902439,104349218417.60857,231481.26115407498
8,0.05,10000,40,6,15.625,109488810666.66669,243200.00000000003
8,0.05,10000,39,6,16.025641025641026,115025087424.93973,255831.6896778435
8,0.05,10000,38,6,16.44736842105263,121000151578.94736,269473.6842105263
8,0.05,10000,37,6,16.89189189189189,127461855213.0509,284236.669101534
8,0.05,10000,36,6,17.36111111111111,134464769053.49796,300246.9135802469
8,0.05,10000,35,6,17.857142857142858,142071348244.89795,317648.97959183675
8,0.05,10000,34,6,18.38235294117647,150353341268.74283,336608.9965397924
8,0.05,10000,33,6,18.939393939393938,159393501756.9636,357318.6409550046
8,0.05,10000,32,6,19.53125,169287680000.0,380000.0
8,0.05,10000,31,6,20.161290322580644,180147393576.136,404911.5504682622
8,0.05,10000,30,6,20.833333333333332,192103006814.8148,432355.5555555555
8,0.05,10000,29,6,21.551724137931036,205307689702.73483,462687.2770511296
8,0.05,10000,28,6,22.321428571428573,219942382585.034,496326.53061224485
8,0.05,10000,27,6,23.14814814814815,236222069757.65887,533772.2908093279
8,0.05,10000,26,6,24.03846153846154,254403771834.31958,575621.301775148
8,0.05,10000,25,6,25.0,274796817066.6667,622592.0
8,0.05,10000,24,6,26.041666666666668,297776165925.9259,675555.5555555555
8,0.05,10000,23,6,27.17391304347826,323799872362.949,735576.5595463138
8,0.05,10000,22,6,28.40909090909091,353432217741.0469,803966.9421487603
8,0.05,10000,21,6,29.761904761904763,387374726288.73773,882358.2766439909
8,0.05,10000,20,6,31.25,426508288000.0,972800.0000000001
8,0.05,10000,19,6,32.89473684210526,471951180350.8772,1077894.7368421052
8,0.05,10000,18,6,34.72222222222222,525140237695.47327,1200987.6543209876
8,0.05,10000,17,7,36.76470588235294,503954022501.2357,1346435.9861591696
8,0.05,10000,16,7,39.0625,568150308571.4286,1520000.0
8,0.05,10000,15,7,41.666666666666664,645556646603.1746,1729422.222222222
8,0.05,10000,14,7,44.642857142857146,740071489679.3003,1985306.1224489794
8,0.05,10000,13,7,48.07692307692308,857146618157.2274,2302485.207100592
8,0.05,10000,12,7,52.083333333333336,1004594062222.2224,2702222.222222222
8,0.05,10000,11,7,56.81818181818182,1193928193813.4592,3215867.7685950412
8,0.05,10000,10,7,62.5,1442690779428.5718,3891200.0000000005
8,0.05,10000,9,7,69.44444444444444,1778677091781.3054,4803950.617283951
8,0.05,10000,8,7,78.125,2248072045714.286,6080000.0
8,0.05,10000,7,7,89.28571428571429,2932252600349.8545,7941224.489795918
8,0.05,10000,6,7,104.16666666666667,3985670664126.9844,10808888.888888888
8,0.05,10000,5,7,125.0,5731516416000.001,15564800.000000002
8,0.05,10000,4,7,156.25,8943229805714.287,24320000.0
8,0.05,10000,3,7,208.33333333333334,15877271486984.129,43235555.55555555
8,0.05,10000,2,7,312.5,35674802468571.43,97280000.0
8,0.05,10000,1,7,625.0,142502976365714.3,389120000.0
