step,rows_1,rows_5,rows_10,rows_25
28900,14,15,15,15
29000,14,15,15,14
29100,14,15,15,14
29200,14,15,15,14
29300,14,15,15,14
29400,14,15,15,14
29500,14,15,15,14
29600,14,15,15,14
29700,14,15,15,15
29800,14,15,15,14
29900,14,15,15,14
30000,14,16,16,15
30100,14,15,15,14
30200,14,15,15,14
30300,14,15,15,15
30400,15,15,15,15
30500,14,15,15,14
30600,14,15,15,14
30700,15,15,15,15
30800,14,15,15,14
30900,14,15,15,14
31000,14,15,15,14
31100,14,15,15,14
31200,14,15,15,14
31300,14,15,15,14
31400,14,15,15,14
31500,14,15,15,14
31600,14,15,15,14
31700,14,15,15,14
31800,14,15,15,14
31900,14,15,15,15
32000,15,15,15,14
32100,14,15,15,15
32200,14,15,15,14
32300,14,15,15,14
32400,14,15,15,14
32500,14,15,15,14
32600,14,15,15,14
32700,14,15,15,14
32800,14,15,15,14
32900,14,15,15,14
33000,14,15,15,14
33100,14,15,15,14
33200,15,15,15,14
33300,15,15,15,14
33400,14,15,15,14
33500,15,15,15,14
33600,15,15,15,14
33700,15,15,15,14
33800,14,15,15,14
33900,14,15,15,14
34000,14,15,15,14
34100,14,15,15,14
34200,15,16,16,15
34300,14,15,15,14
34400,14,15,15,14
34500,15,15,15,14
34600,14,15,15,14
34700,14,15,15,14
34800,14,15,15,14
34900,14,15,15,14
35000,14,15,15,14
35100,14,15,15,14
35200,14,15,15,14
35300,14,15,15,14
35400,14,15,15,14
35500,14,15,15,14
35600,14,15,15,14
35700,14,15,15,14
35800,14,15,15,15
35900,15,15,15,14
36000,14,15,15,14
36100,14,15,15,15
36200,14,15,15,14
36300,15,17,17,14
36400,14,15,15,14
36500,14,15,15,14
36600,14,15,15,15
36700,14,15,15,14
36800,14,15,15,14
36900,14,15,15,14
37000,14,15,15,14
37100,14,15,15,14
37200,14,16,16,14
37300,14,15,15,15
37400,14,15,15,14
37500,14,15,15,14
37600,14,15,15,14
37700,14,15,15,15
37800,14,15,15,15
37900,14,15,15,14
38000,14,15,15,14
38100,14,15,15,14
38200,14,15,15,14
38300,14,16,16,14
38400,14,15,15,14
38500,14,15,15,14
38600,14,15,15,14
38700,15,15,15,15
38800,14,15,15,14
38900,14,15,15,14
39000,14,15,15,14
39100,14,15,15,14
39200,14,15,15,14
39300,14,15,15,14
39400,14,15,15,14
39500,15,15,15,14
39600,14,15,15,14
39700,14,15,15,14
39800,14,15,15,14
39900,14,15,15,14
40000,14,15,15,14
40100,14,15,15,14
40200,14,15,15,14
40300,15,15,15,14
40400,14,15,15,14
40500,14,15,15,14
40600,14,15,15,14
40700,14,15,15,15
40800,14,15,15,14
40900,14,15,15,14
41000,14,15,15,14
41100,14,15,15,14
41200,14,15,15,14
41300,14,15,15,14
41400,15,16,16,14
41500,14,15,15,14
41600,14,15,15,14
41700,15,15,15,14
41800,14,15,15,14
41900,14,15,15,14
42000,14,15,15,14
42100,14,15,15,14
42200,14,15,15,14
42300,14,15,15,15
