k,epsilon,N,k2,k1
16,0.1,10000,100,14
16,0.1,10000,99,15
16,0.1,10000,98,15
16,0.1,10000,97,15
16,0.1,10000,96,15
16,0.1,10000,95,15
16,0.1,10000,94,15
16,0.1,10000,93,15
16,0.1,10000,92,15
16,0.1,10000,91,15
16,0.1,10000,90,16
16,0.1,10000,89,16
16,0.1,10000,88,16
16,0.1,10000,87,16
16,0.1,10000,86,16
16,0.1,10000,85,16
16,0.1,10000,84,16
16,0.1,10000,83,16
16,0.1,10000,82,16
16,0.1,10000,81,16
16,0.1,10000,80,16
16,0.1,10000,79,16
16,0.1,10000,78,17
16,0.1,10000,77,17
16,0.1,10000,76,17
16,0.1,10000,75,17
16,0.1,10000,74,17
16,0.1,10000,73,17
16,0.1,10000,72,17
16,0.1,10000,71,17
16,0.1,10000,70,17
16,0.1,10000,69,17
16,0.1,10000,68,18
16,0.1,10000,67,18
16,0.1,10000,66,18
16,0.1,10000,65,18
16,0.1,10000,64,18
16,0.1,10000,63,18
16,0.1,10000,62,18
16,0.1,10000,61,18
16,0.1,10000,60,18
16,0.1,10000,59,19
16,0.1,10000,58,19
16,0.1,10000,57,19
16,0.1,10000,56,19
16,0.1,10000,55,19
16,0.1,10000,54,19
16,0.1,10000,53,19
16,0.1,10000,52,19
16,0.1,10000,51,20
16,0.1,10000,50,20
16,0.1,10000,49,20
16,0.1,10000,48,20
16,0.1,10000,47,20
16,0.1,10000,46,20
16,0.1,10000,45,20
16,0.1,10000,44,20
16,0.1,10000,43,21
16,0.1,10000,42,21
16,0.1,10000,41,21
16,0.1,10000,40,21
16,0.1,10000,39,21
16,0.1,10000,38,21
16,0.1,10000,37,22
16,0.1,10000,36,22
16,0.1,10000,35,22
16,0.1,10000,34,22
16,0.1,10000,33,22
16,0.1,10000,32,22
16,0.1,10000,31,22
16,0.1,10000,30,23
16,0.1,10000,29,23
16,0.1,10000,28,23
16,0.1,10000,27,23
16,0.1,10000,26,23
16,0.1,10000,25,24
16,0.1,10000,24,24
16,0.1,10000,23,24
16,0.1,10000,22,24
16,0.1,10000,21,24
16,0.1,10000,20,24
16,0.1,10000,19,25
16,0.1,10000,18,25
16,0.1,10000,17,25
16,0.1,10000,16,25
16,0.1,10000,15,26
16,0.1,10000,14,26
16,0.1,10000,13,26
16,0.1,10000,12,26
16,0.1,10000,11,26
16,0.1,10000,10,27
16,0.1,10000,9,27
16,0.1,10000,8,27
16,0.1,10000,7,27
16,0.1,10000,6,28
16,0.1,10000,5,28
16,0.1,10000,4,28
16,0.1,10000,3,28
16,0.1,10000,2,29
16,0.1,10000,1,29
