k,epsilon,N,k2,k1
16,0.1,100000,960,28
16,0.1,100000,959,28
16,0.1,100000,958,28
16,0.1,100000,957,28
16,0.1,100000,956,28
16,0.1,100000,955,28
16,0.1,100000,954,29
16,0.1,100000,953,29
16,0.1,100000,952,29
16,0.1,100000,951,29
16,0.1,100000,950,29
16,0.1,100000,949,29
16,0.1,100000,948,29
16,0.1,100000,947,29
16,0.1,100000,946,29
16,0.1,100000,945,29
16,0.1,100000,944,29
16,0.1,100000,943,29
16,0.1,100000,942,29
16,0.1,100000,941,29
16,0.1,100000,940,29
16,0.1,100000,939,29
16,0.1,100000,938,29
16,0.1,100000,937,29
16,0.1,100000,936,29
16,0.1,100000,935,29
16,0.1,100000,934,29
16,0.1,100000,933,29
16,0.1,100000,932,29
16,0.1,100000,931,29
16,0.1,100000,930,29
16,0.1,100000,929,29
16,0.1,100000,928,29
16,0.1,100000,927,29
16,0.1,100000,926,29
16,0.1,100000,925,29
16,0.1,100000,924,29
16,0.1,100000,923,29
16,0.1,100000,922,29
16,0.1,100000,921,30
16,0.1,100000,920,30
16,0.1,100000,919,30
16,0.1,100000,918,30
16,0.1,100000,917,30
16,0.1,100000,916,30
16,0.1,100000,915,30
16,0.1,100000,914,30
16,0.1,100000,913,30
16,0.1,100000,912,30
16,0.1,100000,911,30
16,0.1,100000,910,30
16,0.1,100000,909,30
16,0.1,100000,908,30
16,0.1,100000,907,30
16,0.1,100000,906,30
16,0.1,100000,905,30
16,0.1,100000,904,30
16,0.1,100000,903,30
16,0.1,100000,902,30
16,0.1,100000,901,30
16,0.1,100000,900,30
16,0.1,100000,899,30
16,0.1,100000,898,30
16,0.1,100000,897,30
16,0.1,100000,896,30
16,0.1,100000,895,30
16,0.1,100000,894,30
16,0.1,100000,893,30
16,0.1,100000,892,30
16,0.1,100000,891,30
16,0.1,100000,890,30
16,0.1,100000,889,30
16,0.1,100000,888,31
16,0.1,100000,887,31
16,0.1,100000,886,31
16,0.1,100000,885,31
16,0.1,100000,884,31
16,0.1,100000,883,31
16,0.1,100000,882,31
16,0.1,100000,881,31
16,0.1,100000,880,31
16,0.1,100000,879,31
16,0.1,100000,878,31
16,0.1,100000,877,31
16,0.1,100000,876,31
16,0.1,100000,875,31
16,0.1,100000,874,31
16,0.1,100000,873,31
16,0.1,100000,872,31
16,0.1,100000,871,31
16,0.1,100000,870,31
16,0.1,100000,869,31
16,0.1,100000,868,31
16,0.1,100000,867,31
16,0.1,100000,866,31
16,0.1,100000,865,31
16,0.1,100000,864,31
16,0.1,100000,863,31
16,0.1,100000,862,31
16,0.1,100000,861,31
16,0.1,100000,860,31
16,0.1,100000,859,31
16,0.1,100000,858,31
16,0.1,100000,857,32
16,0.1,100000,856,32
16,0.1,100000,855,32
16,0.1,100000,854,32
16,0.1,100000,853,32
16,0.1,100000,852,32
16,0.1,100000,851,32
16,0.1,100000,850,32
16,0.1,100000,849,32
16,0.1,100000,848,32
16,0.1,100000,847,32
16,0.1,100000,846,32
16,0.1,100000,845,32
16,0.1,100000,844,32
16,0.1,100000,843,32
16,0.1,100000,842,32
16,0.1,100000,841,32
16,0.1,100000,840,32
16,0.1,100000,839,32
16,0.1,100000,838,32
16,0.1,100000,837,32
16,0.1,100000,836,32
16,0.1,100000,835,32
16,0.1,100000,834,32
16,0.1,100000,833,32
16,0.1,100000,832,32
16,0.1,100000,831,32
16,0.1,100000,830,32
16,0.1,100000,829,32
16,0.1,100000,828,33
16,0.1,100000,827,33
16,0.1,100000,826,33
16,0.1,100000,825,33
16,0.1,100000,824,33
16,0.1,100000,823,33
16,0.1,100000,822,33
16,0.1,100000,821,33
16,0.1,100000,820,33
16,0.1,100000,819,33
16,0.1,100000,818,33
16,0.1,100000,817,33
16,0.1,100000,816,33
16,0.1,100000,815,33
16,0.1,100000,814,33
16,0.1,100000,813,33
16,0.1,100000,812,33
16,0.1,100000,811,33
16,0.1,100000,810,33
16,0.1,100000,809,33
16,0.1,100000,808,33
16,0.1,100000,807,33
16,0.1,100000,806,33
16,0.1,100000,805,33
16,0.1,100000,804,33
16,0.1,100000,803,33
16,0.1,100000,802,33
16,0.1,100000,801,33
16,0.1,100000,800,34
16,0.1,100000,799,34
16,0.1,100000,798,34
16,0.1,100000,797,34
16,0.1,100000,796,34
16,0.1,100000,795,34
16,0.1,100000,794,34
16,0.1,100000,793,34
16,0.1,100000,792,34
16,0.1,100000,791,34
16,0.1,100000,790,34
16,0.1,100000,789,34
16,0.1,100000,788,34
16,0.1,100000,787,34
16,0.1,100000,786,34
16,0.1,100000,785,34
16,0.1,100000,784,34
16,0.1,100000,783,34
16,0.1,100000,782,34
16,0.1,100000,781,34
16,0.1,100000,780,34
16,0.1,100000,779,34
16,0.1,100000,778,34
16,0.1,100000,777,34
16,0.1,100000,776,34
16,0.1,100000,775,34
16,0.1,100000,774,35
16,0.1,100000,773,35
16,0.1,100000,772,35
16,0.1,100000,771,35
16,0.1,100000,770,35
16,0.1,100000,769,35
16,0.1,100000,768,35
16,0.1,100000,767,35
16,0.1,100000,766,35
16,0.1,100000,765,35
16,0.1,100000,764,35
16,0.1,100000,763,35
16,0.1,100000,762,35
16,0.1,100000,761,35
16,0.1,100000,760,35
16,0.1,100000,759,35
16,0.1,100000,758,35
16,0.1,100000,757,35
16,0.1,100000,756,35
16,0.1,100000,755,35
16,0.1,100000,754,35
16,0.1,100000,753,35
16,0.1,100000,752,35
16,0.1,100000,751,35
16,0.1,100000,750,36
16,0.1,100000,749,36
16,0.1,100000,748,36
16,0.1,100000,747,36
16,0.1,100000,746,36
16,0.1,100000,745,36
16,0.1,100000,744,36
16,0.1,100000,743,36
16,0.1,100000,742,36
16,0.1,100000,741,36
16,0.1,100000,740,36
16,0.1,100000,739,36
16,0.1,100000,738,36
16,0.1,100000,737,36
16,0.1,100000,736,36
16,0.1,100000,735,36
16,0.1,100000,734,36
16,0.1,100000,733,36
16,0.1,100000,732,36
16,0.1,100000,731,36
16,0.1,100000,730,36
16,0.1,100000,729,36
16,0.1,100000,728,36
16,0.1,100000,727,37
16,0.1,100000,726,37
16,0.1,100000,725,37
16,0.1,100000,724,37
16,0.1,100000,723,37
16,0.1,100000,722,37
16,0.1,100000,721,37
16,0.1,100000,720,37
16,0.1,100000,719,37
16,0.1,100000,718,37
16,0.1,100000,717,37
16,0.1,100000,716,37
16,0.1,100000,715,37
16,0.1,100000,714,37
16,0.1,100000,713,37
16,0.1,100000,712,37
16,0.1,100000,711,37
16,0.1,100000,710,37
16,0.1,100000,709,37
16,0.1,100000,708,37
16,0.1,100000,707,37
16,0.1,100000,706,37
16,0.1,100000,705,38
16,0.1,100000,704,38
16,0.1,100000,703,38
16,0.1,100000,702,38
16,0.1,100000,701,38
16,0.1,100000,700,38
16,0.1,100000,699,38
16,0.1,100000,698,38
16,0.1,100000,697,38
16,0.1,100000,696,38
16,0.1,100000,695,38
16,0.1,100000,694,38
16,0.1,100000,693,38
16,0.1,100000,692,38
16,0.1,100000,691,38
16,0.1,100000,690,38
16,0.1,100000,689,38
16,0.1,100000,688,38
16,0.1,100000,687,38
16,0.1,100000,686,38
16,0.1,100000,685,38
16,0.1,100000,684,39
16,0.1,100000,683,39
16,0.1,100000,682,39
16,0.1,100000,681,39
16,0.1,100000,680,39
16,0.1,100000,679,39
16,0.1,100000,678,39
16,0.1,100000,677,39
16,0.1,100000,676,39
16,0.1,100000,675,39
16,0.1,100000,674,39
16,0.1,100000,673,39
16,0.1,100000,672,39
16,0.1,100000,671,39
16,0.1,100000,670,39
16,0.1,100000,669,39
16,0.1,100000,668,39
16,0.1,100000,667,39
16,0.1,100000,666,39
16,0.1,100000,665,39
16,0.1,100000,664,40
16,0.1,100000,663,40
16,0.1,100000,662,40
16,0.1,100000,661,40
16,0.1,100000,660,40
16,0.1,100000,659,40
16,0.1,100000,658,40
16,0.1,100000,657,40
16,0.1,100000,656,40
16,0.1,100000,655,40
16,0.1,100000,654,40
16,0.1,100000,653,40
16,0.1,100000,652,40
16,0.1,100000,651,40
16,0.1,100000,650,40
16,0.1,100000,649,40
16,0.1,100000,648,40
16,0.1,100000,647,40
16,0.1,100000,646,40
16,0.1,100000,645,41
16,0.1,100000,644,41
16,0.1,100000,643,41
16,0.1,100000,642,41
16,0.1,100000,641,41
16,0.1,100000,640,41
16,0.1,100000,639,41
16,0.1,100000,638,41
16,0.1,100000,637,41
16,0.1,100000,636,41
16,0.1,100000,635,41
16,0.1,100000,634,41
16,0.1,100000,633,41
16,0.1,100000,632,41
16,0.1,100000,631,41
16,0.1,100000,630,41
16,0.1,100000,629,41
16,0.1,100000,628,41
16,0.1,100000,627,42
16,0.1,100000,626,42
16,0.1,100000,625,42
16,0.1,100000,624,42
16,0.1,100000,623,42
16,0.1,100000,622,42
16,0.1,100000,621,42
16,0.1,100000,620,42
16,0.1,100000,619,42
16,0.1,100000,618,42
16,0.1,100000,617,42
16,0.1,100000,616,42
16,0.1,100000,615,42
16,0.1,100000,614,42
16,0.1,100000,613,42
16,0.1,100000,612,42
16,0.1,100000,611,42
16,0.1,100000,610,43
16,0.1,100000,609,43
16,0.1,100000,608,43
16,0.1,100000,607,43
16,0.1,100000,606,43
16,0.1,100000,605,43
16,0.1,100000,604,43
16,0.1,100000,603,43
16,0.1,100000,602,43
16,0.1,100000,601,43
16,0.1,100000,600,43
16,0.1,100000,599,43
16,0.1,100000,598,43
16,0.1,100000,597,43
16,0.1,100000,596,43
16,0.1,100000,595,43
16,0.1,100000,594,44
16,0.1,100000,593,44
