k,epsilon,N,k2,k1
16,0.1,5000,50,10
16,0.1,5000,49,10
16,0.1,5000,48,10
16,0.1,5000,47,10
16,0.1,5000,46,10
16,0.1,5000,45,10
16,0.1,5000,44,10
16,0.1,5000,43,10
16,0.1,5000,42,10
16,0.1,5000,41,10
16,0.1,5000,40,10
16,0.1,5000,39,11
16,0.1,5000,38,11
16,0.1,5000,37,11
16,0.1,5000,36,11
16,0.1,5000,35,11
16,0.1,5000,34,11
16,0.1,5000,33,11
16,0.1,5000,32,11
16,0.1,5000,31,11
16,0.1,5000,30,11
16,0.1,5000,29,11
16,0.1,5000,28,11
16,0.1,5000,27,12
16,0.1,5000,26,12
16,0.1,5000,25,12
16,0.1,5000,24,12
16,0.1,5000,23,12
16,0.1,5000,22,12
16,0.1,5000,21,12
16,0.1,5000,20,12
16,0.1,5000,19,12
16,0.1,5000,18,12
16,0.1,5000,17,13
16,0.1,5000,16,13
16,0.1,5000,15,13
16,0.1,5000,14,13
16,0.1,5000,13,13
16,0.1,5000,12,13
16,0.1,5000,11,13
16,0.1,5000,10,13
16,0.1,5000,9,13
16,0.1,5000,8,14
16,0.1,5000,7,14
16,0.1,5000,6,14
16,0.1,5000,5,14
16,0.1,5000,4,14
16,0.1,5000,3,14
16,0.1,5000,2,14
16,0.1,5000,1,14
