k,epsilon,N,k2,k1
16,0.05,100000,960,22
16,0.05,100000,959,22
16,0.05,100000,958,22
16,0.05,100000,957,22
16,0.05,100000,956,22
16,0.05,100000,955,22
16,0.05,100000,954,22
16,0.05,100000,953,22
16,0.05,100000,952,22
16,0.05,100000,951,22
16,0.05,100000,950,22
16,0.05,100000,949,22
16,0.05,100000,948,22
16,0.05,100000,947,22
16,0.05,100000,946,22
16,0.05,100000,945,22
16,0.05,100000,944,22
16,0.05,100000,943,22
16,0.05,100000,942,22
16,0.05,100000,941,22
16,0.05,100000,940,22
16,0.05,100000,939,22
16,0.05,100000,938,22
16,0.05,100000,937,22
16,0.05,100000,936,22
16,0.05,100000,935,22
16,0.05,100000,934,22
16,0.05,100000,933,22
16,0.05,100000,932,22
16,0.05,100000,931,22
16,0.05,100000,930,22
16,0.05,100000,929,22
16,0.05,100000,928,22
16,0.05,100000,927,22
16,0.05,100000,926,22
16,0.05,100000,925,23
16,0.05,100000,924,23
16,0.05,100000,923,23
16,0.05,100000,922,23
16,0.05,100000,921,23
16,0.05,100000,920,23
16,0.05,100000,919,23
16,0.05,100000,918,23
16,0.05,100000,917,23
16,0.05,100000,916,23
16,0.05,100000,915,23
16,0.05,100000,914,23
16,0.05,100000,913,23
16,0.05,100000,912,23
16,0.05,100000,911,23
16,0.05,100000,910,23
16,0.05,100000,909,23
16,0.05,100000,908,23
16,0.05,100000,907,23
16,0.05,100000,906,23
16,0.05,100000,905,23
16,0.05,100000,904,23
16,0.05,100000,903,23
16,0.05,100000,902,23
16,0.05,100000,901,23
16,0.05,100000,900,23
16,0.05,100000,899,23
16,0.05,100000,898,23
16,0.05,100000,897,23
16,0.05,100000,896,23
16,0.05,100000,895,23
16,0.05,100000,894,23
16,0.05,100000,893,23
16,0.05,100000,892,23
16,0.05,100000,891,23
16,0.05,100000,890,23
16,0.05,100000,889,23
16,0.05,100000,888,23
16,0.05,100000,887,23
16,0.05,100000,886,23
16,0.05,100000,885,23
16,0.05,100000,884,23
16,0.05,100000,883,23
16,0.05,100000,882,23
16,0.05,100000,881,23
16,0.05,100000,880,24
16,0.05,100000,879,24
16,0.05,100000,878,24
16,0.05,100000,877,24
16,0.05,100000,876,24
16,0.05,100000,875,24
16,0.05,100000,874,24
16,0.05,100000,873,24
16,0.05,100000,872,24
16,0.05,100000,871,24
16,0.05,100000,870,24
16,0.05,100000,869,24
16,0.05,100000,868,24
16,0.05,100000,867,24
16,0.05,100000,866,24
16,0.05,100000,865,24
16,0.05,100000,864,24
16,0.05,100000,863,24
16,0.05,100000,862,24
16,0.05,100000,861,24
16,0.05,100000,860,24
16,0.05,100000,859,24
16,0.05,100000,858,24
16,0.05,100000,857,24
16,0.05,100000,856,24
16,0.05,100000,855,24
16,0.05,100000,854,24
16,0.05,100000,853,24
16,0.05,100000,852,24
16,0.05,100000,851,24
16,0.05,100000,850,24
16,0.05,100000,849,24
16,0.05,100000,848,24
16,0.05,100000,847,24
16,0.05,100000,846,24
16,0.05,100000,845,24
16,0.05,100000,844,24
16,0.05,100000,843,24
16,0.05,100000,842,24
16,0.05,100000,841,24
16,0.05,100000,840,24
16,0.05,100000,839,24
16,0.05,100000,838,25
16,0.05,100000,837,25
16,0.05,100000,836,25
16,0.05,100000,835,25
16,0.05,100000,834,25
16,0.05,100000,833,25
16,0.05,100000,832,25
16,0.05,100000,831,25
16,0.05,100000,830,25
16,0.05,100000,829,25
16,0.05,100000,828,25
16,0.05,100000,827,25
16,0.05,100000,826,25
16,0.05,100000,825,25
16,0.05,100000,824,25
16,0.05,100000,823,25
16,0.05,100000,822,25
16,0.05,100000,821,25
16,0.05,100000,820,25
16,0.05,100000,819,25
16,0.05,100000,818,25
16,0.05,100000,817,25
16,0.05,100000,816,25
16,0.05,100000,815,25
16,0.05,100000,814,25
16,0.05,100000,813,25
16,0.05,100000,812,25
16,0.05,100000,811,25
16,0.05,100000,810,25
16,0.05,100000,809,25
16,0.05,100000,808,25
16,0.05,100000,807,25
16,0.05,100000,806,25
16,0.05,100000,805,25
16,0.05,100000,804,25
16,0.05,100000,803,25
16,0.05,100000,802,25
16,0.05,100000,801,25
16,0.05,100000,800,25
16,0.05,100000,799,26
16,0.05,100000,798,26
16,0.05,100000,797,26
16,0.05,100000,796,26
16,0.05,100000,795,26
16,0.05,100000,794,26
16,0.05,100000,793,26
16,0.05,100000,792,26
16,0.05,100000,791,26
16,0.05,100000,790,26
16,0.05,100000,789,26
16,0.05,100000,788,26
16,0.05,100000,787,26
16,0.05,100000,786,26
16,0.05,100000,785,26
16,0.05,100000,784,26
16,0.05,100000,783,26
16,0.05,100000,782,26
16,0.05,100000,781,26
16,0.05,100000,780,26
16,0.05,100000,779,26
16,0.05,100000,778,26
16,0.05,100000,777,26
16,0.05,100000,776,26
16,0.05,100000,775,26
16,0.05,100000,774,26
16,0.05,100000,773,26
16,0.05,100000,772,26
16,0.05,100000,771,26
16,0.05,100000,770,26
16,0.05,100000,769,26
16,0.05,100000,768,26
16,0.05,100000,767,26
16,0.05,100000,766,26
16,0.05,100000,765,26
16,0.05,100000,764,26
16,0.05,100000,763,27
16,0.05,100000,762,27
16,0.05,100000,761,27
16,0.05,100000,760,27
16,0.05,100000,759,27
16,0.05,100000,758,27
16,0.05,100000,757,27
16,0.05,100000,756,27
16,0.05,100000,755,27
16,0.05,100000,754,27
16,0.05,100000,753,27
16,0.05,100000,752,27
16,0.05,100000,751,27
16,0.05,100000,750,27
16,0.05,100000,749,27
16,0.05,100000,748,27
16,0.05,100000,747,27
16,0.05,100000,746,27
16,0.05,100000,745,27
16,0.05,100000,744,27
16,0.05,100000,743,27
16,0.05,100000,742,27
16,0.05,100000,741,27
16,0.05,100000,740,27
16,0.05,100000,739,27
16,0.05,100000,738,27
16,0.05,100000,737,27
16,0.05,100000,736,27
16,0.05,100000,735,27
16,0.05,100000,734,27
16,0.05,100000,733,27
16,0.05,100000,732,27
16,0.05,100000,731,27
16,0.05,100000,730,28
16,0.05,100000,729,28
