k,epsilon,N,k2,k1
16,0.05,5000,50,5
16,0.05,5000,49,5
16,0.05,5000,48,5
16,0.05,5000,47,6
16,0.05,5000,46,6
16,0.05,5000,45,6
16,0.05,5000,44,6
16,0.05,5000,43,6
16,0.05,5000,42,6
16,0.05,5000,41,6
16,0.05,5000,40,6
16,0.05,5000,39,6
16,0.05,5000,38,6
16,0.05,5000,37,6
16,0.05,5000,36,6
16,0.05,5000,35,6
16,0.05,5000,34,6
16,0.05,5000,33,6
16,0.05,5000,32,6
16,0.05,5000,31,6
16,0.05,5000,30,6
16,0.05,5000,29,6
16,0.05,5000,28,6
16,0.05,5000,27,6
16,0.05,5000,26,6
16,0.05,5000,25,6
16,0.05,5000,24,6
16,0.05,5000,23,6
16,0.05,5000,22,6
16,0.05,5000,21,6
16,0.05,5000,20,6
16,0.05,5000,19,6
16,0.05,5000,18,6
16,0.05,5000,17,7
16,0.05,5000,16,7
16,0.05,5000,15,7
16,0.05,5000,14,7
16,0.05,5000,13,7
16,0.05,5000,12,7
16,0.05,5000,11,7
16,0.05,5000,10,7
16,0.05,5000,9,7
16,0.05,5000,8,7
16,0.05,5000,7,7
16,0.05,5000,6,7
16,0.05,5000,5,7
16,0.05,5000,4,7
16,0.05,5000,3,7
16,0.05,5000,2,7
16,0.05,5000,1,7
