epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
0.1,10000,141,6,35.46099290780142,59201040130.10748,134946.9342588401
0.1,10000,140,6,35.714285714285715,60038109170.06803,136881.63265306124
0.1,10000,139,6,35.97122302158273,60893225021.47922,138858.23715128616
0.1,10000,138,6,36.231884057971016,61766911444.374435,140877.9668136946
0.1,10000,137,6,36.496350364963504,62659711356.669685,142942.08535350845
0.1,10000,136,6,36.76470588235294,63572187681.660904,145051.90311418686
0.1,10000,135,6,37.03703703703704,64504924239.59763,147208.7791495199
0.1,10000,134,6,37.3134328358209,65458526685.973114,149414.1234127868
0.1,10000,133,6,37.59398496240601,66433623499.34987,151669.39906156366
0.1,10000,132,6,37.878787878787875,67430867021.73248,153976.12488521577
0.1,10000,131,6,38.16793893129771,68450934554.70739,156335.87786259543
0.1,10000,130,6,38.46153846153846,69494529514.7929,158750.29585798815
0.1,10000,129,6,38.75968992248062,70562382651.6836,161221.08046391443
0.1,10000,128,6,39.0625,71655253333.33334,163750.0
0.1,10000,127,6,39.37007874015748,72773930902.1018,166338.89267778536
0.1,10000,126,6,39.682539682539684,73919236106.49197,168989.66994205088
0.1,10000,125,6,40.0,75092022613.33334,171704.32
0.1,10000,124,6,40.32258064516129,76293178605.61914,174484.91155046824
0.1,10000,123,6,40.65040650406504,77523628471.58879,177333.59772622117
0.1,10000,122,6,40.98360655737705,78784334591.05975,180252.62026337007
0.1,10000,121,6,41.32231404958678,80076299225.46275,183244.3139129841
0.1,10000,120,7,41.666666666666664,69771914158.73015,186311.1111111111
0.1,10000,119,7,42.016806722689076,70935621098.59068,189455.54692465218
0.1,10000,118,7,42.3728813559322,72128921062.09216,192680.26429187012
0.1,10000,117,7,42.73504273504273,73352828063.40858,195988.01957776316
0.1,10000,116,7,43.10344827586207,74608399959.23221,199381.6884661118
0.1,10000,115,7,43.47826086956522,75896740744.26143,202864.27221172024
0.1,10000,114,7,43.85964912280702,77219002988.1722,206438.90427823947
0.1,10000,113,7,44.24778761061947,78576390424.12987,210108.85738898895
0.1,10000,112,7,44.642857142857146,79970160699.70847,213877.55102040814
0.1,10000,111,7,45.04504504504504,81401628301.96991,217748.55937018097
0.1,10000,110,7,45.45454545454545,82872167669.42148,221725.61983471073
0.1,10000,109,7,45.87155963302752,84383216504.62325,225812.64203349888
0.1,10000,108,7,46.2962962962963,85936279302.37115,230013.7174211248
0.1,10000,107,7,46.728971962616825,87532931109.64153,234333.12953096337
0.1,10000,106,7,47.16981132075472,89174821534.86244,238775.36489854043
0.1,10000,105,7,47.61904761904762,90863679025.59119,243345.12471655328
0.1,10000,104,7,48.07692307692308,92601315435.3339,248047.3372781065
0.1,10000,103,7,48.54368932038835,94389630902.06427,252887.17126967668
0.1,10000,102,7,49.01960784313726,96230619062.99774,257870.04998077662
0.1,10000,101,7,49.504950495049506,98126372632.37498,263001.666503284
0.1,10000,100,7,50.0,100079089371.42857,268288.0
0.1,10000,99,7,50.505050505050505,102091078482.3706,273735.33312927256
0.1,10000,98,7,51.02040816326531,104164767461.17688,279350.2707205331
0.1,10000,97,7,51.54639175257732,106302709447.1858,285139.7598044425
0.1,10000,96,7,52.083333333333336,108507591111.11111,291111.1111111111
0.1,10000,95,7,52.63157894736842,110782241127.02808,297272.02216066484
0.1,10000,94,7,53.191489361702125,113129639278.27716,303630.6020823902
0.1,10000,93,7,53.763440860215056,115552926252.08531,310195.39831194363
0.1,10000,92,8,54.34782608695652,103298487410.20796,316975.4253308128
0.1,10000,91,8,54.94505494505494,105560523260.47578,323980.1956285473
0.1,10000,90,8,55.55555555555556,107898146765.43211,331219.7530864198
0.1,10000,89,8,56.17977528089887,110314768902.91628,338704.7090013887
0.1,10000,88,8,56.81818181818182,112813995371.90085,346446.2809917356
0.1,10000,87,8,57.47126436781609,115399640089.84013,354456.33505086537
0.1,10000,86,8,58.13953488372093,118075739794.4835,362747.4310438075
0.1,10000,85,8,58.8235294117647,120846569854.67126,371332.87197231833
0.1,10000,84,8,59.523809523809526,123716661405.89569,380226.7573696145
0.1,10000,83,8,60.24096385542169,126690819939.03326,389444.04122514155
0.1,10000,82,8,60.97560975609756,129774145484.83046,399000.59488399763
0.1,10000,81,8,61.72839506172839,132972054552.65962,408913.275415333
0.1,10000,80,8,62.5,136290304000.00002,419200.00000000006
0.1,10000,79,8,63.29113924050633,139735017029.32224,429879.82695080916
