epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
0.1,20000,277,8,36.101083032490976,45995785078.39279,69931.31671206454
0.1,20000,276,8,36.231884057971016,46325183583.28083,70438.9834068473
0.1,20000,275,8,36.36363636363637,46658165633.05787,70952.19834710745
0.1,20000,274,8,36.496350364963504,46994783517.502266,71471.04267675422
0.1,20000,273,8,36.63003663003663,47335090484.509384,71995.59902856607
0.1,20000,272,8,36.76470588235294,47679140761.245674,72525.95155709343
0.1,20000,271,8,36.90036900369004,48026989575.850006,73062.18597241324
0.1,20000,270,8,37.03703703703704,48378693179.69823,73604.38957475995
0.1,20000,269,8,37.174721189591075,48734308870.24777,74152.65129005956
0.1,20000,268,8,37.3134328358209,49093895014.47984,74707.0617063934
0.1,20000,267,8,37.453183520599254,49457511072.95656,75267.71311141973
0.1,20000,266,8,37.59398496240601,49825217624.5124,75834.69953078183
0.1,20000,265,8,37.735849056603776,50197076391.59844,76408.11676753293
0.1,20000,264,8,37.878787878787875,50573150266.29935,76988.06244260789
0.1,20000,263,8,38.02281368821293,50953503337.044044,77574.63603637468
0.1,20000,262,8,38.16793893129771,51338200916.03054,78167.93893129771
0.1,20000,261,8,38.31417624521073,51727309567.38746,78768.07445574788
0.1,20000,260,8,38.46153846153846,52120897136.09467,79375.14792899408
0.1,20000,259,8,38.61003861003861,52519032777.68667,79989.26670741342
0.1,20000,258,8,38.75968992248062,52921786988.76269,80610.54023195722
0.1,20000,257,8,38.91050583657587,53329231638.32911,81239.08007691258
0.1,20000,256,8,39.0625,53741440000.0,81875.0
0.1,20000,255,8,39.21568627450981,54158486785.082664,82518.41599384852
0.1,20000,254,8,39.37007874015748,54580448176.57635,83169.44633889268
0.1,20000,253,8,39.52569169960474,55007401864.112854,83828.21165773564
0.1,20000,252,8,39.682539682539684,55439427079.86899,84494.83497102544
0.1,20000,251,8,39.8406374501992,55876604635.48197,85169.44175489277
0.1,20000,250,8,40.0,56319016960.00001,85852.16
0.1,20000,249,8,40.16064257028113,56766748138.900986,86543.12027225367
0.1,20000,248,8,40.32258064516129,57219883954.21435,87242.45577523412
0.1,20000,247,8,40.48582995951417,57678511925.78145,87950.30241439788
0.1,20000,246,8,40.65040650406504,58142721353.69159,88666.79886311058
0.1,20000,245,8,40.816326530612244,58612603361.93253,89392.0866305706
0.1,20000,244,8,40.98360655737705,59088250943.294815,90126.31013168504
0.1,20000,243,8,41.1522633744856,59569759005.57167,90869.61675896292
0.1,20000,242,8,41.32231404958678,60057224419.09705,91622.15695649205
0.1,20000,241,9,41.49377593360996,53822885391.70392,92384.08429606928
0.1,20000,240,9,41.666666666666664,54267044345.67901,93155.55555555555
0.1,20000,239,9,41.84100418410042,54716767952.0083,93936.73079953081
0.1,20000,238,9,42.016806722689076,55172149743.34832,94727.77346232609
0.1,20000,237,9,42.19409282700422,55633285227.39905,95528.85043351313
0.1,20000,236,9,42.3728813559322,56100271937.1828,96340.13214593506
0.1,20000,235,9,42.5531914893617,56573209482.8228,97161.79266636487
0.1,20000,234,9,42.73504273504273,57052199604.87334,97994.00978888158
0.1,20000,233,9,42.918454935622314,57537346229.25455,98836.96513105786
0.1,20000,232,9,43.10344827586207,58028755523.84729,99690.8442330559
0.1,20000,231,9,43.29004329004329,58526535956.80574,100555.83665973277
0.1,20000,230,9,43.47826086956522,59030798356.647766,101432.13610586012
0.1,20000,229,9,43.66812227074236,59541655974.18474,102319.94050456704
0.1,20000,228,9,43.85964912280702,60059224546.35614,103219.45213911973
0.1,20000,227,9,44.052863436123346,60583622362.03562,104130.8777581556
0.1,20000,226,9,44.24778761061947,61114970329.87878,105054.42869449448
0.1,20000,225,9,44.44444444444444,61653392048.28531,105990.32098765431
0.1,20000,224,9,44.642857142857146,62199013877.55101,106938.77551020407
0.1,20000,223,9,44.84304932735426,62751965014.28856,107900.01809809166
0.1,20000,222,9,45.04504504504504,63312377568.19882,108874.27968509049
0.1,20000,221,9,45.248868778280546,63880386641.27816,109861.7964415143
0.1,20000,220,9,45.45454545454545,64456130409.55003,110862.80991735536
0.1,20000,219,9,45.662100456621005,65039750207.4139,111877.56719000856
0.1,20000,218,9,45.87155963302752,65631390614.70696,112906.32101674944
0.1,20000,217,9,46.08294930875576,66231199546.57965,113949.32999214255
0.1,20000,216,9,46.2962962962963,66839328346.28867,115006.8587105624
0.1,20000,215,9,46.51162790697674,67455931881.016754,116079.17793401837
0.1,20000,214,9,46.728971962616825,68081168640.83228,117166.56476548169
0.1,20000,213,9,46.948356807511736,68715200840.907036,118269.30282792215
0.1,20000,212,9,47.16981132075472,69358194527.11525,119387.68244927021
0.1,20000,211,9,47.39336492890995,70010319685.14235,120522.00085352981
0.1,20000,210,9,47.61904761904762,70671750353.2376,121672.56235827664
0.1,20000,209,9,47.84688995215311,71342664738.74988,122839.6785787871
0.1,20000,208,9,48.07692307692308,72023245338.59303,124023.66863905326
0.1,20000,207,10,48.309178743961354,65442311157.41323,125224.85938995074
0.1,20000,206,10,48.54368932038835,66072741631.44499,126443.58563483834
0.1,20000,205,10,48.78048780487805,66712388743.84295,127680.19036287925
0.1,20000,204,10,49.01960784313726,67361433344.09842,128935.02499038831
0.1,20000,203,10,49.26108374384236,68020060742.45916,130208.44961052197
0.1,20000,202,10,49.504950495049506,68688460842.66249,131500.833251642
0.1,20000,201,10,49.75124378109453,69366828279.30002,132812.5541446994
0.1,20000,200,10,50.0,70055362560.0,134144.0
0.1,20000,199,10,50.25125628140704,70754268212.6209,135495.56829372994
0.1,20000,198,10,50.505050505050505,71463754937.65942,136867.66656463628
0.1,20000,197,10,50.76142131979695,72184037766.08517,138260.71272127598
0.1,20000,196,10,51.02040816326531,72915337222.8238,139675.13536026655
0.1,20000,195,10,51.282051282051285,73657879496.12097,141111.37409598948
0.1,20000,194,10,51.54639175257732,74411896613.03009,142569.87990222126
0.1,20000,193,10,51.81347150259067,75177626621.27843,144051.11546618704
0.1,20000,192,10,52.083333333333336,75955313777.77777,145555.55555555556
0.1,20000,191,10,52.35602094240838,76745208744.05855,147083.68739891998
0.1,20000,190,10,52.63157894736842,77547568788.91968,148636.01108033242
0.1,20000,189,10,52.91005291005291,78362657998.60027,150213.03994848966
0.1,20000,188,10,53.191489361702125,79190747494.79402,151815.3010411951
0.1,20000,187,10,53.475935828877006,80032115660.84245,153443.33552575138
0.1,20000,186,10,53.763440860215056,80887048376.45972,155097.69915597182
0.1,20000,185,10,54.054054054054056,81755839261.35867,156778.96274653033
0.1,20000,184,10,54.34782608695652,82638789928.16635,158487.7126654064
0.1,20000,183,10,54.6448087431694,83536210245.03569,160224.55134521783
0.1,20000,182,10,54.94505494505494,84448418608.38063,161990.09781427364
0.1,20000,181,10,55.248618784530386,85375742226.18356,163784.98824822195
0.1,20000,180,10,55.55555555555556,86318517412.34569,165609.8765432099
0.1,20000,179,11,55.865921787709496,79342808993.25012,167465.43491151964
0.1,20000,178,11,56.17977528089887,80228922838.48457,169352.35450069435
0.1,20000,177,11,56.49717514124294,81130053288.53023,171271.3460372179
0.1,20000,176,11,56.81818181818182,82046542088.65515,173223.1404958678
0.1,20000,175,11,57.142857142857146,82978740767.34694,175208.48979591837
0.1,20000,174,11,57.47126436781609,83927010974.4292,177228.16752543268
0.1,20000,173,11,57.80346820809248,84891724832.8924,179282.96969494468
