epsilon,N,k2,k1
0.05,100000,1653,13
0.05,100000,1652,13
0.05,100000,1651,13
0.05,100000,1650,13
0.05,100000,1649,13
0.05,100000,1648,13
0.05,100000,1647,13
0.05,100000,1646,13
0.05,100000,1645,13
0.05,100000,1644,13
0.05,100000,1643,13
0.05,100000,1642,13
0.05,100000,1641,13
0.05,100000,1640,13
0.05,100000,1639,13
0.05,100000,1638,13
0.05,100000,1637,13
0.05,100000,1636,13
0.05,100000,1635,13
0.05,100000,1634,13
0.05,100000,1633,14
0.05,100000,1632,14
0.05,100000,1631,14
0.05,100000,1630,14
0.05,100000,1629,14
0.05,100000,1628,14
0.05,100000,1627,14
0.05,100000,1626,14
0.05,100000,1625,14
0.05,100000,1624,14
0.05,100000,1623,14
0.05,100000,1622,14
0.05,100000,1621,14
0.05,100000,1620,14
0.05,100000,1619,14
0.05,100000,1618,14
0.05,100000,1617,14
0.05,100000,1616,14
0.05,100000,1615,14
0.05,100000,1614,14
0.05,100000,1613,14
0.05,100000,1612,14
0.05,100000,1611,14
0.05,100000,1610,14
0.05,100000,1609,14
0.05,100000,1608,14
0.05,100000,1607,14
0.05,100000,1606,14
0.05,100000,1605,14
0.05,100000,1604,14
0.05,100000,1603,14
0.05,100000,1602,14
0.05,100000,1601,14
0.05,100000,1600,14
0.05,100000,1599,14
0.05,100000,1598,14
0.05,100000,1597,14
0.05,100000,1596,14
0.05,100000,1595,14
0.05,100000,1594,14
0.05,100000,1593,14
0.05,100000,1592,14
0.05,100000,1591,14
0.05,100000,1590,14
0.05,100000,1589,14
0.05,100000,1588,14
0.05,100000,1587,14
0.05,100000,1586,14
0.05,100000,1585,14
0.05,100000,1584,14
0.05,100000,1583,14
0.05,100000,1582,14
0.05,100000,1581,14
0.05,100000,1580,14
0.05,100000,1579,14
0.05,100000,1578,14
0.05,100000,1577,14
0.05,100000,1576,14
0.05,100000,1575,14
0.05,100000,1574,14
0.05,100000,1573,14
0.05,100000,1572,14
0.05,100000,1571,14
0.05,100000,1570,14
0.05,100000,1569,14
0.05,100000,1568,14
0.05,100000,1567,14
0.05,100000,1566,14
0.05,100000,1565,14
0.05,100000,1564,14
0.05,100000,1563,14
0.05,100000,1562,14
0.05,100000,1561,14
0.05,100000,1560,14
0.05,100000,1559,14
0.05,100000,1558,14
0.05,100000,1557,14
0.05,100000,1556,14
0.05,100000,1555,14
0.05,100000,1554,14
0.05,100000,1553,14
0.05,100000,1552,14
0.05,100000,1551,14
0.05,100000,1550,14
0.05,100000,1549,14
0.05,100000,1548,14
0.05,100000,1547,14
0.05,100000,1546,14
0.05,100000,1545,14
0.05,100000,1544,14
0.05,100000,1543,14
0.05,100000,1542,14
0.05,100000,1541,14
0.05,100000,1540,14
0.05,100000,1539,14
0.05,100000,1538,14
0.05,100000,1537,14
0.05,100000,1536,14
0.05,100000,1535,14
0.05,100000,1534,14
0.05,100000,1533,14
0.05,100000,1532,14
0.05,100000,1531,14
0.05,100000,1530,14
0.05,100000,1529,14
0.05,100000,1528,14
0.05,100000,1527,14
0.05,100000,1526,14
0.05,100000,1525,14
0.05,100000,1524,14
0.05,100000,1523,14
0.05,100000,1522,14
0.05,100000,1521,14
0.05,100000,1520,14
0.05,100000,1519,14
0.05,100000,1518,14
0.05,100000,1517,14
0.05,100000,1516,14
0.05,100000,1515,14
0.05,100000,1514,14
0.05,100000,1513,14
0.05,100000,1512,15
0.05,100000,1511,15
0.05,100000,1510,15
0.05,100000,1509,15
0.05,100000,1508,15
0.05,100000,1507,15
0.05,100000,1506,15
0.05,100000,1505,15
0.05,100000,1504,15
0.05,100000,1503,15
0.05,100000,1502,15
0.05,100000,1501,15
0.05,100000,1500,15
0.05,100000,1499,15
0.05,100000,1498,15
0.05,100000,1497,15
0.05,100000,1496,15
0.05,100000,1495,15
0.05,100000,1494,15
0.05,100000,1493,15
0.05,100000,1492,15
0.05,100000,1491,15
0.05,100000,1490,15
0.05,100000,1489,15
0.05,100000,1488,15
0.05,100000,1487,15
0.05,100000,1486,15
0.05,100000,1485,15
0.05,100000,1484,15
0.05,100000,1483,15
0.05,100000,1482,15
0.05,100000,1481,15
0.05,100000,1480,15
0.05,100000,1479,15
0.05,100000,1478,15
0.05,100000,1477,15
0.05,100000,1476,15
0.05,100000,1475,15
0.05,100000,1474,15
0.05,100000,1473,15
0.05,100000,1472,15
0.05,100000,1471,15
0.05,100000,1470,15
0.05,100000,1469,15
0.05,100000,1468,15
0.05,100000,1467,15
0.05,100000,1466,15
0.05,100000,1465,15
0.05,100000,1464,15
0.05,100000,1463,15
0.05,100000,1462,15
0.05,100000,1461,15
0.05,100000,1460,15
0.05,100000,1459,15
0.05,100000,1458,15
0.05,100000,1457,15
0.05,100000,1456,15
0.05,100000,1455,15
0.05,100000,1454,15
0.05,100000,1453,15
0.05,100000,1452,15
0.05,100000,1451,15
0.05,100000,1450,15
0.05,100000,1449,15
0.05,100000,1448,15
0.05,100000,1447,15
0.05,100000,1446,15
0.05,100000,1445,15
0.05,100000,1444,15
0.05,100000,1443,15
0.05,100000,1442,15
0.05,100000,1441,15
0.05,100000,1440,15
0.05,100000,1439,15
0.05,100000,1438,15
0.05,100000,1437,15
0.05,100000,1436,15
0.05,100000,1435,15
0.05,100000,1434,15
0.05,100000,1433,15
0.05,100000,1432,15
0.05,100000,1431,15
0.05,100000,1430,15
0.05,100000,1429,15
0.05,100000,1428,15
0.05,100000,1427,15
0.05,100000,1426,15
0.05,100000,1425,15
0.05,100000,1424,15
0.05,100000,1423,15
0.05,100000,1422,15
0.05,100000,1421,15
0.05,100000,1420,15
0.05,100000,1419,15
0.05,100000,1418,15
0.05,100000,1417,15
0.05,100000,1416,15
0.05,100000,1415,15
0.05,100000,1414,15
0.05,100000,1413,15
0.05,100000,1412,15
0.05,100000,1411,15
0.05,100000,1410,15
0.05,100000,1409,15
0.05,100000,1408,15
0.05,100000,1407,16
0.05,100000,1406,16
0.05,100000,1405,16
0.05,100000,1404,16
0.05,100000,1403,16
0.05,100000,1402,16
0.05,100000,1401,16
0.05,100000,1400,16
0.05,100000,1399,16
0.05,100000,1398,16
0.05,100000,1397,16
0.05,100000,1396,16
0.05,100000,1395,16
0.05,100000,1394,16
0.05,100000,1393,16
0.05,100000,1392,16
0.05,100000,1391,16
0.05,100000,1390,16
0.05,100000,1389,16
0.05,100000,1388,16
0.05,100000,1387,16
0.05,100000,1386,16
0.05,100000,1385,16
0.05,100000,1384,16
0.05,100000,1383,16
0.05,100000,1382,16
0.05,100000,1381,16
0.05,100000,1380,16
0.05,100000,1379,16
0.05,100000,1378,16
0.05,100000,1377,16
0.05,100000,1376,16
0.05,100000,1375,16
0.05,100000,1374,16
0.05,100000,1373,16
0.05,100000,1372,16
0.05,100000,1371,16
0.05,100000,1370,16
0.05,100000,1369,16
0.05,100000,1368,16
0.05,100000,1367,16
0.05,100000,1366,16
0.05,100000,1365,16
0.05,100000,1364,16
0.05,100000,1363,16
0.05,100000,1362,16
0.05,100000,1361,16
0.05,100000,1360,16
0.05,100000,1359,16
0.05,100000,1358,16
0.05,100000,1357,16
0.05,100000,1356,16
0.05,100000,1355,16
0.05,100000,1354,16
0.05,100000,1353,16
0.05,100000,1352,16
0.05,100000,1351,16
0.05,100000,1350,16
0.05,100000,1349,16
0.05,100000,1348,16
0.05,100000,1347,16
0.05,100000,1346,16
0.05,100000,1345,16
0.05,100000,1344,16
0.05,100000,1343,16
0.05,100000,1342,16
0.05,100000,1341,16
0.05,100000,1340,16
0.05,100000,1339,16
0.05,100000,1338,16
0.05,100000,1337,16
0.05,100000,1336,16
0.05,100000,1335,16
0.05,100000,1334,16
0.05,100000,1333,16
0.05,100000,1332,16
0.05,100000,1331,16
0.05,100000,1330,16
0.05,100000,1329,16
0.05,100000,1328,16
0.05,100000,1327,16
0.05,100000,1326,16
0.05,100000,1325,16
0.05,100000,1324,16
0.05,100000,1323,16
0.05,100000,1322,16
0.05,100000,1321,16
0.05,100000,1320,16
0.05,100000,1319,16
0.05,100000,1318,16
0.05,100000,1317,16
0.05,100000,1316,16
0.05,100000,1315,16
0.05,100000,1314,17
0.05,100000,1313,17
0.05,100000,1312,17
0.05,100000,1311,17
0.05,100000,1310,17
0.05,100000,1309,17
0.05,100000,1308,17
0.05,100000,1307,17
0.05,100000,1306,17
0.05,100000,1305,17
0.05,100000,1304,17
0.05,100000,1303,17
0.05,100000,1302,17
0.05,100000,1301,17
0.05,100000,1300,17
0.05,100000,1299,17
0.05,100000,1298,17
0.05,100000,1297,17
0.05,100000,1296,17
0.05,100000,1295,17
0.05,100000,1294,17
0.05,100000,1293,17
0.05,100000,1292,17
0.05,100000,1291,17
0.05,100000,1290,17
0.05,100000,1289,17
0.05,100000,1288,17
0.05,100000,1287,17
0.05,100000,1286,17
0.05,100000,1285,17
0.05,100000,1284,17
0.05,100000,1283,17
0.05,100000,1282,17
0.05,100000,1281,17
0.05,100000,1280,17
0.05,100000,1279,17
0.05,100000,1278,17
0.05,100000,1277,17
0.05,100000,1276,17
0.05,100000,1275,17
0.05,100000,1274,17
0.05,100000,1273,17
0.05,100000,1272,17
0.05,100000,1271,17
0.05,100000,1270,17
0.05,100000,1269,17
0.05,100000,1268,17
0.05,100000,1267,17
0.05,100000,1266,17
0.05,100000,1265,17
0.05,100000,1264,17
0.05,100000,1263,17
0.05,100000,1262,17
0.05,100000,1261,17
0.05,100000,1260,17
0.05,100000,1259,17
0.05,100000,1258,17
0.05,100000,1257,17
0.05,100000,1256,17
0.05,100000,1255,17
0.05,100000,1254,17
0.05,100000,1253,17
0.05,100000,1252,17
0.05,100000,1251,17
0.05,100000,1250,17
0.05,100000,1249,17
0.05,100000,1248,17
0.05,100000,1247,17
0.05,100000,1246,17
0.05,100000,1245,17
0.05,100000,1244,17
0.05,100000,1243,17
0.05,100000,1242,17
0.05,100000,1241,17
0.05,100000,1240,17
0.05,100000,1239,17
0.05,100000,1238,17
0.05,100000,1237,17
0.05,100000,1236,17
0.05,100000,1235,17
0.05,100000,1234,17
0.05,100000,1233,17
0.05,100000,1232,18
0.05,100000,1231,18
0.05,100000,1230,18
0.05,100000,1229,18
0.05,100000,1228,18
0.05,100000,1227,18
0.05,100000,1226,18
0.05,100000,1225,18
0.05,100000,1224,18
0.05,100000,1223,18
0.05,100000,1222,18
0.05,100000,1221,18
0.05,100000,1220,18
0.05,100000,1219,18
0.05,100000,1218,18
0.05,100000,1217,18
0.05,100000,1216,18
0.05,100000,1215,18
0.05,100000,1214,18
0.05,100000,1213,18
0.05,100000,1212,18
0.05,100000,1211,18
0.05,100000,1210,18
0.05,100000,1209,18
0.05,100000,1208,18
0.05,100000,1207,18
0.05,100000,1206,18
0.05,100000,1205,18
0.05,100000,1204,18
0.05,100000,1203,18
0.05,100000,1202,18
0.05,100000,1201,18
0.05,100000,1200,18
0.05,100000,1199,18
0.05,100000,1198,18
0.05,100000,1197,18
0.05,100000,1196,18
0.05,100000,1195,18
0.05,100000,1194,18
0.05,100000,1193,18
0.05,100000,1192,18
0.05,100000,1191,18
0.05,100000,1190,18
0.05,100000,1189,18
0.05,100000,1188,18
0.05,100000,1187,18
0.05,100000,1186,18
0.05,100000,1185,18
0.05,100000,1184,18
0.05,100000,1183,18
0.05,100000,1182,18
0.05,100000,1181,18
0.05,100000,1180,18
0.05,100000,1179,18
0.05,100000,1178,18
0.05,100000,1177,18
0.05,100000,1176,18
0.05,100000,1175,18
0.05,100000,1174,18
0.05,100000,1173,18
0.05,100000,1172,18
0.05,100000,1171,18
0.05,100000,1170,18
0.05,100000,1169,18
0.05,100000,1168,18
0.05,100000,1167,18
0.05,100000,1166,18
0.05,100000,1165,18
0.05,100000,1164,18
0.05,100000,1163,18
0.05,100000,1162,18
0.05,100000,1161,18
0.05,100000,1160,18
0.05,100000,1159,18
0.05,100000,1158,19
0.05,100000,1157,19
0.05,100000,1156,19
0.05,100000,1155,19
0.05,100000,1154,19
0.05,100000,1153,19
0.05,100000,1152,19
0.05,100000,1151,19
0.05,100000,1150,19
0.05,100000,1149,19
0.05,100000,1148,19
0.05,100000,1147,19
0.05,100000,1146,19
0.05,100000,1145,19
0.05,100000,1144,19
0.05,100000,1143,19
0.05,100000,1142,19
0.05,100000,1141,19
0.05,100000,1140,19
0.05,100000,1139,19
0.05,100000,1138,19
0.05,100000,1137,19
0.05,100000,1136,19
0.05,100000,1135,19
0.05,100000,1134,19
0.05,100000,1133,19
0.05,100000,1132,19
0.05,100000,1131,19
0.05,100000,1130,19
0.05,100000,1129,19
0.05,100000,1128,19
0.05,100000,1127,19
0.05,100000,1126,19
0.05,100000,1125,19
0.05,100000,1124,19
0.05,100000,1123,19
0.05,100000,1122,19
0.05,100000,1121,19
0.05,100000,1120,19
0.05,100000,1119,19
0.05,100000,1118,19
0.05,100000,1117,19
0.05,100000,1116,19
0.05,100000,1115,19
0.05,100000,1114,19
0.05,100000,1113,19
0.05,100000,1112,19
0.05,100000,1111,19
0.05,100000,1110,19
0.05,100000,1109,19
0.05,100000,1108,19
0.05,100000,1107,19
0.05,100000,1106,19
0.05,100000,1105,19
0.05,100000,1104,19
0.05,100000,1103,19
0.05,100000,1102,19
0.05,100000,1101,19
0.05,100000,1100,19
0.05,100000,1099,19
0.05,100000,1098,19
0.05,100000,1097,19
0.05,100000,1096,19
0.05,100000,1095,19
0.05,100000,1094,19
0.05,100000,1093,19
0.05,100000,1092,19
0.05,100000,1091,20
0.05,100000,1090,20
0.05,100000,1089,20
0.05,100000,1088,20
0.05,100000,1087,20
0.05,100000,1086,20
0.05,100000,1085,20
0.05,100000,1084,20
0.05,100000,1083,20
0.05,100000,1082,20
0.05,100000,1081,20
0.05,100000,1080,20
0.05,100000,1079,20
0.05,100000,1078,20
0.05,100000,1077,20
0.05,100000,1076,20
0.05,100000,1075,20
0.05,100000,1074,20
0.05,100000,1073,20
0.05,100000,1072,20
0.05,100000,1071,20
0.05,100000,1070,20
0.05,100000,1069,20
0.05,100000,1068,20
0.05,100000,1067,20
0.05,100000,1066,20
0.05,100000,1065,20
0.05,100000,1064,20
0.05,100000,1063,20
0.05,100000,1062,20
0.05,100000,1061,20
0.05,100000,1060,20
0.05,100000,1059,20
0.05,100000,1058,20
0.05,100000,1057,20
0.05,100000,1056,20
0.05,100000,1055,20
0.05,100000,1054,20
0.05,100000,1053,20
0.05,100000,1052,20
0.05,100000,1051,20
0.05,100000,1050,20
0.05,100000,1049,20
0.05,100000,1048,20
0.05,100000,1047,20
0.05,100000,1046,20
0.05,100000,1045,20
0.05,100000,1044,20
0.05,100000,1043,20
0.05,100000,1042,20
0.05,100000,1041,20
0.05,100000,1040,20
0.05,100000,1039,20
0.05,100000,1038,20
0.05,100000,1037,20
0.05,100000,1036,20
0.05,100000,1035,20
0.05,100000,1034,20
0.05,100000,1033,20
0.05,100000,1032,20
0.05,100000,1031,21
0.05,100000,1030,21
0.05,100000,1029,21
0.05,100000,1028,21
0.05,100000,1027,21
0.05,100000,1026,21
0.05,100000,1025,21
0.05,100000,1024,21
0.05,100000,1023,21
0.05,100000,1022,21
0.05,100000,1021,21
0.05,100000,1020,21
0.05,100000,1019,21
0.05,100000,1018,21
0.05,100000,1017,21
0.05,100000,1016,21
0.05,100000,1015,21
0.05,100000,1014,21
0.05,100000,1013,21
0.05,100000,1012,21
0.05,100000,1011,21
0.05,100000,1010,21
0.05,100000,1009,21
0.05,100000,1008,21
0.05,100000,1007,21
0.05,100000,1006,21
0.05,100000,1005,21
0.05,100000,1004,21
0.05,100000,1003,21
0.05,100000,1002,21
0.05,100000,1001,21
0.05,100000,1000,21
0.05,100000,999,21
0.05,100000,998,21
0.05,100000,997,21
0.05,100000,996,21
0.05,100000,995,21
0.05,100000,994,21
0.05,100000,993,21
0.05,100000,992,21
0.05,100000,991,21
0.05,100000,990,21
0.05,100000,989,21
0.05,100000,988,21
0.05,100000,987,21
0.05,100000,986,21
0.05,100000,985,21
0.05,100000,984,21
0.05,100000,983,21
0.05,100000,982,21
0.05,100000,981,21
0.05,100000,980,21
0.05,100000,979,21
0.05,100000,978,21
0.05,100000,977,21
0.05,100000,976,22
0.05,100000,975,22
0.05,100000,974,22
0.05,100000,973,22
0.05,100000,972,22
0.05,100000,971,22
0.05,100000,970,22
0.05,100000,969,22
0.05,100000,968,22
0.05,100000,967,22
0.05,100000,966,22
0.05,100000,965,22
0.05,100000,964,22
0.05,100000,963,22
0.05,100000,962,22
0.05,100000,961,22
0.05,100000,960,22
0.05,100000,959,22
0.05,100000,958,22
0.05,100000,957,22
0.05,100000,956,22
0.05,100000,955,22
0.05,100000,954,22
0.05,100000,953,22
0.05,100000,952,22
0.05,100000,951,22
0.05,100000,950,22
0.05,100000,949,22
0.05,100000,948,22
0.05,100000,947,22
0.05,100000,946,22
0.05,100000,945,22
0.05,100000,944,22
0.05,100000,943,22
0.05,100000,942,22
0.05,100000,941,22
0.05,100000,940,22
0.05,100000,939,22
0.05,100000,938,22
0.05,100000,937,22
0.05,100000,936,22
0.05,100000,935,22
0.05,100000,934,22
0.05,100000,933,22
0.05,100000,932,22
0.05,100000,931,22
0.05,100000,930,22
0.05,100000,929,22
0.05,100000,928,22
0.05,100000,927,22
0.05,100000,926,23
0.05,100000,925,23
0.05,100000,924,23
0.05,100000,923,23
0.05,100000,922,23
0.05,100000,921,23
0.05,100000,920,23
0.05,100000,919,23
0.05,100000,918,23
0.05,100000,917,23
0.05,100000,916,23
0.05,100000,915,23
0.05,100000,914,23
0.05,100000,913,23
0.05,100000,912,23
0.05,100000,911,23
0.05,100000,910,23
0.05,100000,909,23
0.05,100000,908,23
0.05,100000,907,23
0.05,100000,906,23
0.05,100000,905,23
0.05,100000,904,23
0.05,100000,903,23
0.05,100000,902,23
0.05,100000,901,23
0.05,100000,900,23
0.05,100000,899,23
0.05,100000,898,23
0.05,100000,897,23
0.05,100000,896,23
0.05,100000,895,23
0.05,100000,894,23
0.05,100000,893,23
0.05,100000,892,23
0.05,100000,891,23
0.05,100000,890,23
0.05,100000,889,23
0.05,100000,888,23
0.05,100000,887,23
0.05,100000,886,23
0.05,100000,885,23
0.05,100000,884,23
0.05,100000,883,23
0.05,100000,882,23
0.05,100000,881,23
0.05,100000,880,24
0.05,100000,879,24
0.05,100000,878,24
0.05,100000,877,24
0.05,100000,876,24
0.05,100000,875,24
0.05,100000,874,24
0.05,100000,873,24
0.05,100000,872,24
0.05,100000,871,24
0.05,100000,870,24
0.05,100000,869,24
0.05,100000,868,24
0.05,100000,867,24
0.05,100000,866,24
0.05,100000,865,24
0.05,100000,864,24
0.05,100000,863,24
0.05,100000,862,24
0.05,100000,861,24
0.05,100000,860,24
0.05,100000,859,24
0.05,100000,858,24
0.05,100000,857,24
0.05,100000,856,24
0.05,100000,855,24
0.05,100000,854,24
0.05,100000,853,24
0.05,100000,852,24
0.05,100000,851,24
0.05,100000,850,24
0.05,100000,849,24
0.05,100000,848,24
0.05,100000,847,24
0.05,100000,846,24
0.05,100000,845,24
0.05,100000,844,24
0.05,100000,843,24
0.05,100000,842,24
0.05,100000,841,24
0.05,100000,840,24
0.05,100000,839,24
0.05,100000,838,25
0.05,100000,837,25
0.05,100000,836,25
0.05,100000,835,25
0.05,100000,834,25
0.05,100000,833,25
0.05,100000,832,25
0.05,100000,831,25
0.05,100000,830,25
0.05,100000,829,25
0.05,100000,828,25
0.05,100000,827,25
0.05,100000,826,25
0.05,100000,825,25
0.05,100000,824,25
0.05,100000,823,25
0.05,100000,822,25
