epsilon,N,k2,k1
0.05,100000,2000,11
0.05,100000,1999,11
0.05,100000,1998,11
0.05,100000,1997,11
0.05,100000,1996,11
0.05,100000,1995,11
0.05,100000,1994,11
0.05,100000,1993,11
0.05,100000,1992,11
0.05,100000,1991,11
0.05,100000,1990,11
0.05,100000,1989,11
0.05,100000,1988,11
0.05,100000,1987,11
0.05,100000,1986,11
0.05,100000,1985,11
0.05,100000,1984,11
0.05,100000,1983,11
0.05,100000,1982,11
0.05,100000,1981,11
0.05,100000,1980,11
0.05,100000,1979,11
0.05,100000,1978,11
0.05,100000,1977,11
0.05,100000,1976,11
0.05,100000,1975,11
0.05,100000,1974,11
0.05,100000,1973,11
0.05,100000,1972,11
0.05,100000,1971,11
0.05,100000,1970,11
0.05,100000,1969,11
0.05,100000,1968,11
0.05,100000,1967,11
0.05,100000,1966,11
0.05,100000,1965,11
0.05,100000,1964,11
0.05,100000,1963,11
0.05,100000,1962,11
0.05,100000,1961,11
0.05,100000,1960,11
0.05,100000,1959,11
0.05,100000,1958,11
0.05,100000,1957,11
0.05,100000,1956,11
0.05,100000,1955,11
0.05,100000,1954,11
0.05,100000,1953,11
0.05,100000,1952,11
0.05,100000,1951,11
0.05,100000,1950,11
0.05,100000,1949,11
0.05,100000,1948,11
0.05,100000,1947,11
0.05,100000,1946,11
0.05,100000,1945,11
0.05,100000,1944,11
0.05,100000,1943,11
0.05,100000,1942,11
0.05,100000,1941,11
0.05,100000,1940,11
0.05,100000,1939,11
0.05,100000,1938,11
0.05,100000,1937,11
0.05,100000,1936,11
0.05,100000,1935,11
0.05,100000,1934,11
0.05,100000,1933,12
0.05,100000,1932,12
0.05,100000,1931,12
0.05,100000,1930,12
0.05,100000,1929,12
0.05,100000,1928,12
0.05,100000,1927,12
0.05,100000,1926,12
0.05,100000,1925,12
0.05,100000,1924,12
0.05,100000,1923,12
0.05,100000,1922,12
0.05,100000,1921,12
0.05,100000,1920,12
0.05,100000,1919,12
0.05,100000,1918,12
0.05,100000,1917,12
0.05,100000,1916,12
0.05,100000,1915,12
0.05,100000,1914,12
0.05,100000,1913,12
0.05,100000,1912,12
0.05,100000,1911,12
0.05,100000,1910,12
0.05,100000,1909,12
0.05,100000,1908,12
0.05,100000,1907,12
0.05,100000,1906,12
0.05,100000,1905,12
0.05,100000,1904,12
0.05,100000,1903,12
0.05,100000,1902,12
0.05,100000,1901,12
0.05,100000,1900,12
0.05,100000,1899,12
0.05,100000,1898,12
0.05,100000,1897,12
0.05,100000,1896,12
0.05,100000,1895,12
0.05,100000,1894,12
0.05,100000,1893,12
0.05,100000,1892,12
0.05,100000,1891,12
0.05,100000,1890,12
0.05,100000,1889,12
0.05,100000,1888,12
0.05,100000,1887,12
0.05,100000,1886,12
0.05,100000,1885,12
0.05,100000,1884,12
0.05,100000,1883,12
0.05,100000,1882,12
0.05,100000,1881,12
0.05,100000,1880,12
0.05,100000,1879,12
0.05,100000,1878,12
0.05,100000,1877,12
0.05,100000,1876,12
0.05,100000,1875,12
0.05,100000,1874,12
0.05,100000,1873,12
0.05,100000,1872,12
0.05,100000,1871,12
0.05,100000,1870,12
0.05,100000,1869,12
0.05,100000,1868,12
0.05,100000,1867,12
0.05,100000,1866,12
0.05,100000,1865,12
0.05,100000,1864,12
0.05,100000,1863,12
0.05,100000,1862,12
0.05,100000,1861,12
0.05,100000,1860,12
0.05,100000,1859,12
0.05,100000,1858,12
0.05,100000,1857,12
0.05,100000,1856,12
0.05,100000,1855,12
0.05,100000,1854,12
0.05,100000,1853,12
0.05,100000,1852,12
0.05,100000,1851,12
0.05,100000,1850,12
0.05,100000,1849,12
0.05,100000,1848,12
0.05,100000,1847,12
0.05,100000,1846,12
0.05,100000,1845,12
0.05,100000,1844,12
0.05,100000,1843,12
0.05,100000,1842,12
0.05,100000,1841,12
0.05,100000,1840,12
0.05,100000,1839,12
0.05,100000,1838,12
0.05,100000,1837,12
0.05,100000,1836,12
0.05,100000,1835,12
0.05,100000,1834,12
0.05,100000,1833,12
0.05,100000,1832,12
0.05,100000,1831,12
0.05,100000,1830,12
0.05,100000,1829,12
0.05,100000,1828,12
0.05,100000,1827,12
0.05,100000,1826,12
0.05,100000,1825,12
0.05,100000,1824,12
0.05,100000,1823,12
0.05,100000,1822,12
0.05,100000,1821,12
0.05,100000,1820,12
0.05,100000,1819,12
0.05,100000,1818,12
0.05,100000,1817,12
0.05,100000,1816,12
0.05,100000,1815,12
0.05,100000,1814,12
0.05,100000,1813,12
0.05,100000,1812,12
0.05,100000,1811,12
0.05,100000,1810,12
0.05,100000,1809,12
0.05,100000,1808,12
0.05,100000,1807,12
0.05,100000,1806,12
0.05,100000,1805,12
0.05,100000,1804,12
0.05,100000,1803,12
0.05,100000,1802,12
0.05,100000,1801,12
0.05,100000,1800,12
0.05,100000,1799,12
0.05,100000,1798,12
0.05,100000,1797,12
0.05,100000,1796,12
0.05,100000,1795,12
0.05,100000,1794,12
0.05,100000,1793,12
0.05,100000,1792,12
0.05,100000,1791,12
0.05,100000,1790,12
0.05,100000,1789,12
0.05,100000,1788,12
0.05,100000,1787,12
0.05,100000,1786,12
0.05,100000,1785,12
0.05,100000,1784,12
0.05,100000,1783,12
0.05,100000,1782,12
0.05,100000,1781,12
0.05,100000,1780,12
0.05,100000,1779,12
0.05,100000,1778,12
0.05,100000,1777,12
0.05,100000,1776,12
0.05,100000,1775,12
0.05,100000,1774,12
0.05,100000,1773,12
0.05,100000,1772,12
0.05,100000,1771,13
0.05,100000,1770,13
0.05,100000,1769,13
0.05,100000,1768,13
0.05,100000,1767,13
0.05,100000,1766,13
0.05,100000,1765,13
0.05,100000,1764,13
0.05,100000,1763,13
0.05,100000,1762,13
0.05,100000,1761,13
0.05,100000,1760,13
0.05,100000,1759,13
0.05,100000,1758,13
0.05,100000,1757,13
0.05,100000,1756,13
0.05,100000,1755,13
0.05,100000,1754,13
0.05,100000,1753,13
0.05,100000,1752,13
0.05,100000,1751,13
0.05,100000,1750,13
0.05,100000,1749,13
0.05,100000,1748,13
0.05,100000,1747,13
0.05,100000,1746,13
0.05,100000,1745,13
0.05,100000,1744,13
0.05,100000,1743,13
0.05,100000,1742,13
0.05,100000,1741,13
0.05,100000,1740,13
0.05,100000,1739,13
0.05,100000,1738,13
0.05,100000,1737,13
0.05,100000,1736,13
0.05,100000,1735,13
0.05,100000,1734,13
0.05,100000,1733,13
0.05,100000,1732,13
0.05,100000,1731,13
0.05,100000,1730,13
0.05,100000,1729,13
0.05,100000,1728,13
0.05,100000,1727,13
0.05,100000,1726,13
0.05,100000,1725,13
0.05,100000,1724,13
0.05,100000,1723,13
0.05,100000,1722,13
0.05,100000,1721,13
0.05,100000,1720,13
0.05,100000,1719,13
0.05,100000,1718,13
0.05,100000,1717,13
0.05,100000,1716,13
0.05,100000,1715,13
0.05,100000,1714,13
0.05,100000,1713,13
0.05,100000,1712,13
0.05,100000,1711,13
0.05,100000,1710,13
0.05,100000,1709,13
0.05,100000,1708,13
0.05,100000,1707,13
0.05,100000,1706,13
0.05,100000,1705,13
0.05,100000,1704,13
0.05,100000,1703,13
0.05,100000,1702,13
0.05,100000,1701,13
0.05,100000,1700,13
0.05,100000,1699,13
0.05,100000,1698,13
0.05,100000,1697,13
0.05,100000,1696,13
0.05,100000,1695,13
0.05,100000,1694,13
0.05,100000,1693,13
0.05,100000,1692,13
0.05,100000,1691,13
0.05,100000,1690,13
0.05,100000,1689,13
0.05,100000,1688,13
0.05,100000,1687,13
0.05,100000,1686,13
0.05,100000,1685,13
0.05,100000,1684,13
0.05,100000,1683,13
0.05,100000,1682,13
0.05,100000,1681,13
0.05,100000,1680,13
0.05,100000,1679,13
0.05,100000,1678,13
0.05,100000,1677,13
0.05,100000,1676,13
0.05,100000,1675,13
0.05,100000,1674,13
0.05,100000,1673,13
0.05,100000,1672,13
0.05,100000,1671,13
0.05,100000,1670,13
0.05,100000,1669,13
0.05,100000,1668,13
0.05,100000,1667,13
0.05,100000,1666,13
0.05,100000,1665,13
0.05,100000,1664,13
0.05,100000,1663,13
0.05,100000,1662,13
0.05,100000,1661,13
0.05,100000,1660,13
0.05,100000,1659,13
0.05,100000,1658,13
0.05,100000,1657,13
0.05,100000,1656,13
0.05,100000,1655,13
0.05,100000,1654,13
