epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
0.05,20000,277,5,36.101083032490976,73593256125.42845,69931.31671206454
0.05,20000,276,5,36.231884057971016,74120293733.24931,70438.9834068473
0.05,20000,275,5,36.36363636363637,74653065012.89256,70952.19834710745
0.05,20000,274,5,36.496350364963504,75191653628.00362,71471.04267675422
0.05,20000,273,5,36.63003663003663,75736144775.21501,71995.59902856607
0.05,20000,272,5,36.76470588235294,76286625217.99309,72525.95155709343
0.05,20000,271,5,36.90036900369004,76843183321.36,73062.18597241324
0.05,20000,270,5,37.03703703703704,77405909087.51715,73604.38957475995
0.05,20000,269,5,37.174721189591075,77974894192.39644,74152.65129005956
0.05,20000,268,5,37.3134328358209,78550232023.16772,74707.0617063934
0.05,20000,267,5,37.453183520599254,79132017716.7305,75267.71311141973
0.05,20000,266,5,37.59398496240601,79720348199.21985,75834.69953078183
0.05,20000,265,5,37.735849056603776,80315322226.5575,76408.11676753293
0.05,20000,264,5,37.878787878787875,80917040426.07898,76988.06244260789
0.05,20000,263,5,38.02281368821293,81525605339.2705,77574.63603637468
0.05,20000,262,5,38.16793893129771,82141121465.64886,78167.93893129771
0.05,20000,261,5,38.31417624521073,82763695307.81992,78768.07445574788
0.05,20000,260,5,38.46153846153846,83393435417.75148,79375.14792899408
0.05,20000,259,5,38.61003861003861,84030452444.29868,79989.26670741342
0.05,20000,258,5,38.75968992248062,84674859182.0203,80610.54023195722
0.05,20000,257,6,38.91050583657587,71105642184.43881,81239.08007691258
0.05,20000,256,6,39.0625,71655253333.33334,81875.0
0.05,20000,255,6,39.21568627450981,72211315713.44356,82518.41599384852
0.05,20000,254,6,39.37007874015748,72773930902.1018,83169.44633889268
0.05,20000,253,6,39.52569169960474,73343202485.4838,83828.21165773564
0.05,20000,252,6,39.682539682539684,73919236106.49197,84494.83497102544
0.05,20000,251,6,39.8406374501992,74502139513.97597,85169.44175489277
0.05,20000,250,6,40.0,75092022613.33334,85852.16
0.05,20000,249,6,40.16064257028113,75688997518.53465,86543.12027225367
0.05,20000,248,6,40.32258064516129,76293178605.61914,87242.45577523412
0.05,20000,247,6,40.48582995951417,76904682567.7086,87950.30241439788
0.05,20000,246,6,40.65040650406504,77523628471.58879,88666.79886311058
0.05,20000,245,6,40.816326530612244,78150137815.91003,89392.0866305706
0.05,20000,244,6,40.98360655737705,78784334591.05975,90126.31013168504
0.05,20000,243,6,41.1522633744856,79426345340.7622,90869.61675896292
0.05,20000,242,6,41.32231404958678,80076299225.46275,91622.15695649205
0.05,20000,241,6,41.49377593360996,80734328087.55588,92384.08429606928
0.05,20000,240,6,41.666666666666664,81400566518.51851,93155.55555555555
0.05,20000,239,6,41.84100418410042,82075151928.01245,93936.73079953081
0.05,20000,238,6,42.016806722689076,82758224615.02246,94727.77346232609
0.05,20000,237,6,42.19409282700422,83449927841.09857,95528.85043351313
0.05,20000,236,6,42.3728813559322,84150407905.77419,96340.13214593506
0.05,20000,235,6,42.5531914893617,84859814224.23419,97161.79266636487
0.05,20000,234,6,42.73504273504273,85578299407.30998,97994.00978888158
0.05,20000,233,6,42.918454935622314,86306019343.88182,98836.96513105786
0.05,20000,232,6,43.10344827586207,87043133285.77092,99690.8442330559
0.05,20000,231,6,43.29004329004329,87789803935.2086,100555.83665973277
0.05,20000,230,6,43.47826086956522,88546197534.97166,101432.13610586012
0.05,20000,229,6,43.66812227074236,89312483961.27713,102319.94050456704
0.05,20000,228,6,43.85964912280702,90088836819.53423,103219.45213911973
0.05,20000,227,6,44.052863436123346,90875433543.05342,104130.8777581556
0.05,20000,226,6,44.24778761061947,91672455494.81819,105054.42869449448
0.05,20000,225,6,44.44444444444444,92480088072.42796,105990.32098765431
0.05,20000,224,6,44.642857142857146,93298520816.32654,106938.77551020407
0.05,20000,223,6,44.84304932735426,94127947521.43283,107900.01809809166
0.05,20000,222,6,45.04504504504504,94968566352.29823,108874.27968509049
0.05,20000,221,6,45.248868778280546,95820579961.91725,109861.7964415143
0.05,20000,220,6,45.45454545454545,96684195614.32506,110862.80991735536
0.05,20000,219,6,45.662100456621005,97559625311.12085,111877.56719000856
0.05,20000,218,6,45.87155963302752,98447085922.06044,112906.32101674944
0.05,20000,217,6,46.08294930875576,99346799319.86946,113949.32999214255
0.05,20000,216,6,46.2962962962963,100258992519.433,115006.8587105624
0.05,20000,215,6,46.51162790697674,101183897821.52512,116079.17793401837
0.05,20000,214,6,46.728971962616825,102121752961.24844,117166.56476548169
0.05,20000,213,6,46.948356807511736,103072801261.36055,118269.30282792215
0.05,20000,212,6,47.16981132075472,104037291790.67284,119387.68244927021
0.05,20000,211,6,47.39336492890995,105015479527.71355,120522.00085352981
0.05,20000,210,6,47.61904761904762,106007625529.8564,121672.56235827664
0.05,20000,209,6,47.84688995215311,107013997108.1248,122839.6785787871
0.05,20000,208,6,48.07692307692308,108034868007.88954,124023.66863905326
0.05,20000,207,6,48.309178743961354,109070518595.68872,125224.85938995074
0.05,20000,206,6,48.54368932038835,110121236052.40833,126443.58563483834
0.05,20000,205,6,48.78048780487805,111187314573.0716,127680.19036287925
0.05,20000,204,6,49.01960784313726,112269055573.49734,128935.02499038831
0.05,20000,203,6,49.26108374384236,113366767904.0986,130208.44961052197
0.05,20000,202,6,49.504950495049506,114480768071.10414,131500.833251642
0.05,20000,201,6,49.75124378109453,115611380465.50005,132812.5541446994
0.05,20000,200,6,50.0,116758937600.0,134144.0
0.05,20000,199,6,50.25125628140704,117923780354.36813,135495.56829372994
0.05,20000,198,6,50.505050505050505,119106258229.43237,136867.66656463628
0.05,20000,197,7,50.76142131979695,103120053951.55026,138260.71272127598
0.05,20000,196,7,51.02040816326531,104164767461.17688,139675.13536026655
0.05,20000,195,7,51.282051282051285,105225542137.31567,141111.37409598948
0.05,20000,194,7,51.54639175257732,106302709447.1858,142569.87990222126
0.05,20000,193,7,51.81347150259067,107396609458.96921,144051.11546618704
0.05,20000,192,7,52.083333333333336,108507591111.11111,145555.55555555556
0.05,20000,191,7,52.35602094240838,109636012491.51222,147083.68739891998
0.05,20000,190,7,52.63157894736842,110782241127.02808,148636.01108033242
0.05,20000,189,7,52.91005291005291,111946654283.71463,150213.03994848966
0.05,20000,188,7,53.191489361702125,113129639278.27716,151815.3010411951
0.05,20000,187,7,53.475935828877006,114331593801.2035,153443.33552575138
0.05,20000,186,7,53.763440860215056,115552926252.08531,155097.69915597182
0.05,20000,185,7,54.054054054054056,116794056087.65524,156778.96274653033
0.05,20000,184,7,54.34782608695652,118055414183.09479,158487.7126654064
0.05,20000,183,7,54.6448087431694,119337443207.19383,160224.55134521783
0.05,20000,182,7,54.94505494505494,120640598011.97234,161990.09781427364
0.05,20000,181,7,55.248618784530386,121965346037.40508,163784.98824822195
0.05,20000,180,7,55.55555555555556,123312167731.92241,165609.8765432099
0.05,20000,179,7,55.865921787709496,124681556989.39307,167465.43491151964
0.05,20000,178,7,56.17977528089887,126074021603.33292,169352.35450069435
0.05,20000,177,7,56.49717514124294,127490083739.11896,171271.3460372179
0.05,20000,176,7,56.81818181818182,128930280425.02951,173223.1404958678
0.05,20000,175,7,57.142857142857146,130395164062.97377,175208.48979591837
0.05,20000,174,7,57.47126436781609,131885302959.8173,177228.16752543268
0.05,20000,173,7,57.80346820809248,133401281880.25945,179282.96969494468
0.05,20000,172,7,58.13953488372093,134943702622.26685,181373.71552190374
0.05,20000,171,7,58.47953216374269,136513184616.12122,183501.24824732397
0.05,20000,170,7,58.8235294117647,138110365548.19577,185666.43598615917
0.05,20000,169,7,59.171597633136095,139735902010.63388,187870.17261300373
0.05,20000,168,7,59.523809523809526,141390470178.1665,190113.37868480725
0.05,20000,167,7,59.880239520958085,143074766513.3719,192397.0024023809
0.05,20000,166,7,60.24096385542169,144789508501.7523,194722.02061257078
0.05,20000,165,7,60.60606060606061,146535435418.0769,197089.43985307624
0.05,20000,164,7,60.97560975609756,148313309125.52054,199500.29744199882
0.05,20000,163,7,61.34969325153374,150123914909.21216,201955.66261432497
0.05,20000,162,7,61.72839506172839,151968062345.89676,204456.6377076665
0.05,20000,161,7,62.11180124223603,153846586211.5108,207004.3593997145
0.05,20000,160,7,62.5,155760347428.57144,209600.00000000003
0.05,20000,159,7,62.893081761006286,157710234055.3889,212244.76879870257
0.05,20000,158,7,63.29113924050633,159697162319.22543,214939.91347540458
0.05,20000,157,7,63.69426751592356,161722077695.64688,217686.7215708548
0.05,20000,156,7,64.1025641025641,163785956036.44217,220486.52202498357
0.05,20000,155,7,64.51612903225806,165889804748.62494,223340.68678459938
0.05,20000,154,7,64.93506493506493,168034664027.17868,226250.6324843987
0.05,20000,153,7,65.359477124183,170221608144.3645,229217.82220513478
0.05,20000,152,7,65.78947368421052,172451746798.57532,232243.76731301937
0.05,20000,151,8,66.2251655629139,152885448210.1662,235330.02938467608
0.05,20000,150,8,66.66666666666667,154915453155.5556,238478.22222222225
0.05,20000,149,8,67.11409395973155,156986364909.68875,241690.013963335
0.05,20000,148,8,67.56756756756756,159099291395.17892,244967.12929145363
0.05,20000,147,8,68.02721088435374,161255378318.29327,248311.35175158497
0.05,20000,146,8,68.4931506849315,163455810726.21506,251724.5261775192
0.05,20000,145,8,68.96551724137932,165701814639.7147,255208.5612366231
0.05,20000,144,8,69.44444444444444,167994658765.4321,258765.43209876542
0.05,20000,143,8,69.93006993006993,170335656292.23926,262397.1832363441
0.05,20000,142,8,70.4225352112676,172726166776.43326,266105.9313628248
0.05,20000,141,8,70.92198581560284,175167598120.8189,269893.8685176802
0.05,20000,140,8,71.42857142857143,177661408653.06122,273763.2653061225
0.05,20000,139,8,71.94244604316546,180209109309.04193,277716.4743025723
0.05,20000,138,8,72.46376811594203,182812265927.3262,281755.9336273892
0.05,20000,137,8,72.99270072992701,185472501661.24994,285884.1707070169
0.05,20000,136,8,73.52941176470588,188191499515.57092,290103.8062283737
0.05,20000,135,8,74.07407407407408,190971005015.08917,294417.5582990398
0.05,20000,134,8,74.6268656716418,193812829013.14325,298828.2468255736
0.05,20000,133,8,75.18796992481202,196718850648.42554,303338.7981231273
0.05,20000,132,8,75.75757575757575,199691020459.1368,307952.24977043155
0.05,20000,131,8,76.33587786259542,202731363664.12216,312671.75572519086
0.05,20000,130,8,76.92307692307692,205841983621.30176,317500.5917159763
0.05,20000,129,8,77.51937984496124,209025065474.4306,322442.16092782887
0.05,20000,128,8,78.125,212282880000.0,327500.0
0.05,20000,127,8,78.74015748031496,215617787666.93533,332677.7853555707
0.05,20000,126,8,79.36507936507937,219032242922.65054,337979.33988410176
0.05,20000,125,8,80.0,222528798720.00003,343408.64
0.05,20000,124,8,80.64516129032258,226110111300.72836,348969.8231009365
0.05,20000,123,8,81.30081300813008,229778945252.1647,354667.19545244233
0.05,20000,122,8,81.9672131147541,233538178855.14648,360505.24052674015
0.05,20000,121,8,82.64462809917356,237390809742.50394,366488.6278259682
0.05,20000,120,8,83.33333333333333,241339960888.88882,372622.2222222222
0.05,20000,119,8,84.03361344537815,245388886954.31113,378911.09384930436
0.05,20000,118,8,84.7457627118644,249540981005.45816,385360.52858374023
0.05,20000,117,8,85.47008547008546,253799781640.73343,391976.0391555263
0.05,20000,116,9,86.20689655172414,229483538263.97153,398763.3769322236
0.05,20000,115,9,86.95652173913044,233468827127.0742,405728.5444234405
0.05,20000,114,9,87.71929824561404,237559247970.99963,412877.80855647894
0.05,20000,113,9,88.49557522123894,241758535085.49347,420217.7147779779
0.05,20000,112,9,89.28571428571429,246070590113.37866,427755.1020408163
0.05,20000,111,9,90.09009009009009,250499491133.6562,435497.11874036194
0.05,20000,110,9,90.9090909090909,255049502325.06885,443451.23966942145
0.05,20000,109,9,91.74311926605505,259725084252.91547,451625.28406699776
0.05,20000,108,9,92.5925925925926,264530904825.4839,460027.4348422496
0.05,20000,107,9,93.45794392523365,269471850970.39044,468666.25906192674
0.05,20000,106,9,94.33962264150944,274553041085.40018,477550.72979708086
0.05,20000,105,9,95.23809523809524,279779838323.0033,486690.24943310657
0.05,20000,104,9,96.15384615384616,285157864773.17554,496094.674556213
0.05,20000,103,9,97.0873786407767,290693016614.40497,505774.34253935335
