epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
0.05,5000,72,2,34.72222222222222,170379440987.65433,258765.43209876542
0.05,5000,71,2,35.2112676056338,175144537480.6586,266105.9313628248
0.05,5000,70,2,35.714285714285715,180114327510.2041,273763.2653061225
0.05,5000,69,2,36.231884057971016,185300734333.12332,281755.9336273892
0.05,5000,68,2,36.76470588235294,190716563044.9827,290103.8062283737
0.05,5000,67,2,37.3134328358209,196375580057.91937,298828.2468255736
0.05,5000,66,2,37.878787878787875,202292601065.1974,307952.24977043155
0.05,5000,65,2,38.46153846153846,208483588544.3787,317500.5917159763
0.05,5000,64,2,39.0625,214965760000.0,327500.0
0.05,5000,63,2,39.682539682539684,221757708319.47595,337979.33988410176
0.05,5000,62,2,40.32258064516129,228879535816.8574,348969.8231009365
0.05,5000,61,2,40.98360655737705,236353003773.17926,360505.24052674015
0.05,5000,60,2,41.666666666666664,244201699555.55548,372622.2222222222
0.05,5000,59,2,42.3728813559322,252451223717.32257,385360.52858374023
0.05,5000,58,2,43.10344827586207,261129399857.31274,398763.3769322236
0.05,5000,57,2,43.85964912280702,270266510458.60266,412877.80855647894
0.05,5000,56,2,44.642857142857146,279895562448.97955,427755.1020408163
0.05,5000,55,2,45.45454545454545,290052586842.97516,443451.23966942145
0.05,5000,54,2,46.2962962962963,300776977558.2991,460027.4348422496
0.05,5000,53,2,47.16981132075472,312111875372.01855,477550.72979708086
0.05,5000,52,2,48.07692307692308,324104604023.66864,496094.674556213
0.05,5000,51,3,49.01960784313726,224538111146.9947,515740.09996155323
0.05,5000,50,3,50.0,233517875200.0,536576.0
0.05,5000,49,3,51.02040816326531,243051124076.0794,558700.5414410662
0.05,5000,48,3,52.083333333333336,253184379259.25928,582222.2222222222
0.05,5000,47,3,53.191489361702125,263969158315.98004,607261.2041647804
0.05,5000,46,3,54.34782608695652,275462633093.8878,633950.8506616256
0.05,5000,45,3,55.55555555555556,287728391374.48566,662439.5061728396
0.05,5000,44,3,56.81818181818182,300837320991.7356,692892.5619834712
0.05,5000,43,3,58.13953488372093,314868639451.956,725494.862087615
0.05,5000,42,3,59.523809523809526,329911097082.38855,760453.514739229
0.05,5000,41,3,60.97560975609756,346064387959.5479,798001.1897679953
0.05,5000,40,3,62.5,363440810666.66675,838400.0000000001
0.05,5000,39,3,64.1025641025641,382167230751.6985,881946.0880999343
0.05,5000,38,3,65.78947368421052,402387409196.67584,928975.0692520775
0.05,5000,37,3,67.56756756756756,424264777053.81055,979868.5171658145
0.05,5000,36,3,69.44444444444444,447985756707.819,1035061.7283950617
0.05,5000,35,3,71.42857142857143,473763756408.16327,1095053.06122449
0.05,5000,34,3,73.52941176470588,501843998708.1892,1160415.224913495
0.05,5000,33,3,75.75757575757575,532509387891.0315,1231808.9990817262
0.05,5000,32,3,78.125,566087680000.0,1310000.0
0.05,5000,31,3,80.64516129032258,602960296801.9424,1395879.292403746
0.05,5000,30,3,83.33333333333333,643573229037.0369,1490488.8888888888
0.05,5000,29,3,86.20689655172414,688450614791.9146,1595053.5077288945
0.05,5000,28,3,89.28571428571429,738211770340.136,1711020.408163265
0.05,5000,27,3,92.5925925925926,793592714476.4517,1840109.7393689984
0.05,5000,26,3,96.15384615384616,855473594319.5267,1984378.698224852
0.05,5000,25,3,100.0,924913937066.6667,2146304.0
0.05,5000,24,3,104.16666666666667,1003198388148.1482,2328888.888888889
0.05,5000,23,3,108.69565217391305,1091896658752.3628,2535803.4026465025
0.05,5000,22,3,113.63636363636364,1192942961542.7,2771570.2479338846
0.05,5000,21,3,119.04761904761905,1308742526742.2527,3041814.058956916
0.05,5000,20,3,125.0,1442316288000.0,3353600.0000000005
0.05,5000,19,3,131.57894736842104,1597500210821.791,3715900.27700831
0.05,5000,18,3,138.88888888888889,1779224188312.7573,4140246.9135802467
0.05,5000,17,3,147.05882352941177,1993908989342.5605,4641660.89965398
0.05,5000,16,3,156.25,2250042026666.667,5240000.0
0.05,5000,15,3,166.66666666666666,2559030309925.9253,5961955.555555555
0.05,5000,14,3,178.57142857142858,2936494288979.592,6844081.63265306
0.05,5000,13,3,192.30769230769232,3404283677790.9272,7937514.792899408
0.05,5000,12,3,208.33333333333334,3993715294814.8145,9315555.555555556
0.05,5000,11,3,227.27272727272728,4750959201322.315,11086280.991735538
0.05,5000,10,3,250.0,5746371242666.668,13414400.000000002
0.05,5000,9,3,277.77777777777777,7091459076213.992,16560987.654320987
0.05,5000,8,3,312.5,8971550720000.0,20960000.0
0.05,5000,7,3,357.14285714285717,11713271571156.463,27376326.53061224
0.05,5000,6,3,416.6666666666667,15936704663703.703,37262222.222222224
0.05,5000,5,3,500.0,22939697152000.0,53657600.00000001
0.05,5000,4,3,625.0,35828968106666.67,83840000.0
0.05,5000,3,3,833.3333333333334,63670505623703.695,149048888.8888889
0.05,5000,2,3,1250.0,143201402880000.0,335360000.0
0.05,5000,1,3,2500.0,572576672426666.8,1341440000.0
