epsilon,N,k2,k1
0.05,5000,141,4
0.05,5000,140,4
0.05,5000,139,4
0.05,5000,138,4
0.05,5000,137,4
0.05,5000,136,4
0.05,5000,135,4
0.05,5000,134,4
0.05,5000,133,4
0.05,5000,132,4
0.05,5000,131,4
0.05,5000,130,4
0.05,5000,129,4
0.05,5000,128,4
0.05,5000,127,4
0.05,5000,126,4
0.05,5000,125,4
0.05,5000,124,4
0.05,5000,123,4
0.05,5000,122,4
0.05,5000,121,4
0.05,5000,120,4
0.05,5000,119,4
0.05,5000,118,4
0.05,5000,117,4
0.05,5000,116,4
0.05,5000,115,4
0.05,5000,114,4
0.05,5000,113,4
0.05,5000,112,4
0.05,5000,111,4
0.05,5000,110,4
0.05,5000,109,4
0.05,5000,108,4
0.05,5000,107,4
0.05,5000,106,4
0.05,5000,105,4
0.05,5000,104,4
0.05,5000,103,4
0.05,5000,102,4
0.05,5000,101,4
0.05,5000,100,4
0.05,5000,99,4
0.05,5000,98,4
0.05,5000,97,4
0.05,5000,96,4
0.05,5000,95,4
0.05,5000,94,4
0.05,5000,93,4
0.05,5000,92,4
0.05,5000,91,5
0.05,5000,90,5
0.05,5000,89,5
0.05,5000,88,5
0.05,5000,87,5
0.05,5000,86,5
0.05,5000,85,5
0.05,5000,84,5
0.05,5000,83,5
0.05,5000,82,5
0.05,5000,81,5
0.05,5000,80,5
0.05,5000,79,5
0.05,5000,78,5
0.05,5000,77,5
0.05,5000,76,5
0.05,5000,75,5
0.05,5000,74,5
0.05,5000,73,5
0.05,5000,72,5
0.05,5000,71,5
0.05,5000,70,5
0.05,5000,69,5
0.05,5000,68,5
0.05,5000,67,5
0.05,5000,66,5
0.05,5000,65,5
0.05,5000,64,5
0.05,5000,63,5
0.05,5000,62,5
0.05,5000,61,5
0.05,5000,60,5
0.05,5000,59,5
0.05,5000,58,5
0.05,5000,57,5
0.05,5000,56,5
0.05,5000,55,5
0.05,5000,54,5
0.05,5000,53,5
0.05,5000,52,5
0.05,5000,51,5
0.05,5000,50,5
0.05,5000,49,5
0.05,5000,48,6
0.05,5000,47,6
0.05,5000,46,6
0.05,5000,45,6
0.05,5000,44,6
0.05,5000,43,6
0.05,5000,42,6
0.05,5000,41,6
0.05,5000,40,6
0.05,5000,39,6
0.05,5000,38,6
0.05,5000,37,6
0.05,5000,36,6
0.05,5000,35,6
0.05,5000,34,6
0.05,5000,33,6
0.05,5000,32,6
0.05,5000,31,6
0.05,5000,30,6
0.05,5000,29,6
0.05,5000,28,6
0.05,5000,27,6
0.05,5000,26,6
0.05,5000,25,6
0.05,5000,24,6
0.05,5000,23,6
0.05,5000,22,6
0.05,5000,21,6
0.05,5000,20,6
0.05,5000,19,6
0.05,5000,18,6
0.05,5000,17,7
0.05,5000,16,7
0.05,5000,15,7
0.05,5000,14,7
0.05,5000,13,7
0.05,5000,12,7
0.05,5000,11,7
0.05,5000,10,7
0.05,5000,9,7
0.05,5000,8,7
0.05,5000,7,7
0.05,5000,6,7
0.05,5000,5,7
0.05,5000,4,7
0.05,5000,3,7
0.05,5000,2,7
0.05,5000,1,7
