epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
0.05,10000,141,4,35.46099290780142,88801560195.16122,134946.9342588401
0.05,10000,140,4,35.714285714285715,90057163755.10205,136881.63265306124
0.05,10000,139,4,35.97122302158273,91339837532.21881,138858.23715128616
0.05,10000,138,4,36.231884057971016,92650367166.56166,140877.9668136946
0.05,10000,137,4,36.496350364963504,93989567035.00453,142942.08535350845
0.05,10000,136,4,36.76470588235294,95358281522.49135,145051.90311418686
0.05,10000,135,4,37.03703703703704,96757386359.39645,147208.7791495199
0.05,10000,134,4,37.3134328358209,98187790028.95969,149414.1234127868
0.05,10000,133,4,37.59398496240601,99650435249.0248,151669.39906156366
0.05,10000,132,4,37.878787878787875,101146300532.5987,153976.12488521577
0.05,10000,131,4,38.16793893129771,102676401832.06108,156335.87786259543
0.05,10000,130,4,38.46153846153846,104241794272.18935,158750.29585798815
0.05,10000,129,4,38.75968992248062,105843573977.52538,161221.08046391443
0.05,10000,128,4,39.0625,107482880000.0,163750.0
0.05,10000,127,4,39.37007874015748,109160896353.1527,166338.89267778536
0.05,10000,126,4,39.682539682539684,110878854159.73798,168989.66994205088
0.05,10000,125,4,40.0,112638033920.00002,171704.32
0.05,10000,124,4,40.32258064516129,114439767908.4287,174484.91155046824
0.05,10000,123,4,40.65040650406504,116285442707.38318,177333.59772622117
0.05,10000,122,4,40.98360655737705,118176501886.58963,180252.62026337007
0.05,10000,121,4,41.32231404958678,120114448838.1941,183244.3139129841
0.05,10000,120,4,41.666666666666664,122100849777.77774,186311.1111111111
0.05,10000,119,4,42.016806722689076,124137336922.5337,189455.54692465218
0.05,10000,118,4,42.3728813559322,126225611858.66129,192680.26429187012
0.05,10000,117,4,42.73504273504273,128367449110.96501,195988.01957776316
0.05,10000,116,4,43.10344827586207,130564699928.65637,199381.6884661118
0.05,10000,115,4,43.47826086956522,132819296302.45747,202864.27221172024
0.05,10000,114,4,43.85964912280702,135133255229.30133,206438.90427823947
0.05,10000,113,4,44.24778761061947,137508683242.22726,210108.85738898895
0.05,10000,112,4,44.642857142857146,139947781224.48978,213877.55102040814
0.05,10000,111,4,45.04504504504504,142452849528.44733,217748.55937018097
0.05,10000,110,4,45.45454545454545,145026293421.48758,221725.61983471073
0.05,10000,109,4,45.87155963302752,147670628883.09067,225812.64203349888
0.05,10000,108,4,46.2962962962963,150388488779.14954,230013.7174211248
0.05,10000,107,4,46.728971962616825,153182629441.87262,234333.12953096337
0.05,10000,106,4,47.16981132075472,156055937686.00928,238775.36489854043
0.05,10000,105,4,47.61904761904762,159011438294.78458,243345.12471655328
0.05,10000,104,4,48.07692307692308,162052302011.83432,248047.3372781065
