epsilon,N,k2,k1
0.1,2500,72,4
0.1,2500,71,4
0.1,2500,70,4
0.1,2500,69,4
0.1,2500,68,4
0.1,2500,67,4
0.1,2500,66,4
0.1,2500,65,4
0.1,2500,64,4
0.1,2500,63,4
0.1,2500,62,4
0.1,2500,61,4
0.1,2500,60,4
0.1,2500,59,4
0.1,2500,58,4
0.1,2500,57,4
0.1,2500,56,4
0.1,2500,55,5
0.1,2500,54,5
0.1,2500,53,5
0.1,2500,52,5
0.1,2500,51,5
0.1,2500,50,5
0.1,2500,49,5
0.1,2500,48,5
0.1,2500,47,5
0.1,2500,46,5
0.1,2500,45,5
0.1,2500,44,5
0.1,2500,43,5
0.1,2500,42,5
0.1,2500,41,5
0.1,2500,40,5
0.1,2500,39,5
0.1,2500,38,5
0.1,2500,37,5
0.1,2500,36,5
0.1,2500,35,5
0.1,2500,34,5
0.1,2500,33,5
0.1,2500,32,5
0.1,2500,31,5
0.1,2500,30,5
0.1,2500,29,6
0.1,2500,28,6
0.1,2500,27,6
0.1,2500,26,6
0.1,2500,25,6
0.1,2500,24,6
0.1,2500,23,6
0.1,2500,22,6
0.1,2500,21,6
0.1,2500,20,6
0.1,2500,19,6
0.1,2500,18,6
0.1,2500,17,6
0.1,2500,16,6
0.1,2500,15,6
0.1,2500,14,6
0.1,2500,13,6
0.1,2500,12,6
0.1,2500,11,6
0.1,2500,10,7
0.1,2500,9,7
0.1,2500,8,7
0.1,2500,7,7
0.1,2500,6,7
0.1,2500,5,7
0.1,2500,4,7
0.1,2500,3,7
0.1,2500,2,7
0.1,2500,1,7
