epsilon,N,k2,k1
0.05,2500,72,2
0.05,2500,71,2
0.05,2500,70,2
0.05,2500,69,2
0.05,2500,68,2
0.05,2500,67,2
0.05,2500,66,2
0.05,2500,65,2
0.05,2500,64,2
0.05,2500,63,2
0.05,2500,62,2
0.05,2500,61,2
0.05,2500,60,2
0.05,2500,59,2
0.05,2500,58,2
0.05,2500,57,2
0.05,2500,56,2
0.05,2500,55,2
0.05,2500,54,2
0.05,2500,53,2
0.05,2500,52,2
0.05,2500,51,3
0.05,2500,50,3
0.05,2500,49,3
0.05,2500,48,3
0.05,2500,47,3
0.05,2500,46,3
0.05,2500,45,3
0.05,2500,44,3
0.05,2500,43,3
0.05,2500,42,3
0.05,2500,41,3
0.05,2500,40,3
0.05,2500,39,3
0.05,2500,38,3
0.05,2500,37,3
0.05,2500,36,3
0.05,2500,35,3
0.05,2500,34,3
0.05,2500,33,3
0.05,2500,32,3
0.05,2500,31,3
0.05,2500,30,3
0.05,2500,29,3
0.05,2500,28,3
0.05,2500,27,3
0.05,2500,26,3
0.05,2500,25,3
0.05,2500,24,3
0.05,2500,23,3
0.05,2500,22,3
0.05,2500,21,3
0.05,2500,20,3
0.05,2500,19,3
0.05,2500,18,3
0.05,2500,17,3
0.05,2500,16,3
0.05,2500,15,3
0.05,2500,14,3
0.05,2500,13,3
0.05,2500,12,3
0.05,2500,11,3
0.05,2500,10,3
0.05,2500,9,3
0.05,2500,8,3
0.05,2500,7,3
0.05,2500,6,3
0.05,2500,5,3
0.05,2500,4,3
0.05,2500,3,3
0.05,2500,2,3
0.05,2500,1,3
