epsilon,N,k2,k1
0.05,10000,277,5
0.05,10000,276,5
0.05,10000,275,5
0.05,10000,274,5
0.05,10000,273,5
0.05,10000,272,5
0.05,10000,271,5
0.05,10000,270,5
0.05,10000,269,5
0.05,10000,268,5
0.05,10000,267,5
0.05,10000,266,5
0.05,10000,265,5
0.05,10000,264,5
0.05,10000,263,5
0.05,10000,262,5
0.05,10000,261,5
0.05,10000,260,5
0.05,10000,259,5
0.05,10000,258,5
0.05,10000,257,6
0.05,10000,256,6
0.05,10000,255,6
0.05,10000,254,6
0.05,10000,253,6
0.05,10000,252,6
0.05,10000,251,6
0.05,10000,250,6
0.05,10000,249,6
0.05,10000,248,6
0.05,10000,247,6
0.05,10000,246,6
0.05,10000,245,6
0.05,10000,244,6
0.05,10000,243,6
0.05,10000,242,6
0.05,10000,241,6
0.05,10000,240,6
0.05,10000,239,6
0.05,10000,238,6
0.05,10000,237,6
0.05,10000,236,6
0.05,10000,235,6
0.05,10000,234,6
0.05,10000,233,6
0.05,10000,232,6
0.05,10000,231,6
0.05,10000,230,6
0.05,10000,229,6
0.05,10000,228,6
0.05,10000,227,6
0.05,10000,226,6
0.05,10000,225,6
0.05,10000,224,6
0.05,10000,223,6
0.05,10000,222,6
0.05,10000,221,6
0.05,10000,220,6
0.05,10000,219,6
0.05,10000,218,6
0.05,10000,217,6
0.05,10000,216,6
0.05,10000,215,6
0.05,10000,214,6
0.05,10000,213,6
0.05,10000,212,6
0.05,10000,211,6
0.05,10000,210,6
0.05,10000,209,6
0.05,10000,208,6
0.05,10000,207,6
0.05,10000,206,6
0.05,10000,205,6
0.05,10000,204,6
0.05,10000,203,6
0.05,10000,202,6
0.05,10000,201,6
0.05,10000,200,6
0.05,10000,199,6
0.05,10000,198,6
0.05,10000,197,7
0.05,10000,196,7
0.05,10000,195,7
0.05,10000,194,7
0.05,10000,193,7
0.05,10000,192,7
0.05,10000,191,7
0.05,10000,190,7
0.05,10000,189,7
0.05,10000,188,7
0.05,10000,187,7
0.05,10000,186,7
0.05,10000,185,7
0.05,10000,184,7
0.05,10000,183,7
0.05,10000,182,7
0.05,10000,181,7
0.05,10000,180,7
0.05,10000,179,7
0.05,10000,178,7
0.05,10000,177,7
0.05,10000,176,7
0.05,10000,175,7
0.05,10000,174,7
0.05,10000,173,7
