epsilon,N,k2,k1
0.05,10000,172,7
0.05,10000,171,7
0.05,10000,170,7
0.05,10000,169,7
0.05,10000,168,7
0.05,10000,167,7
0.05,10000,166,7
0.05,10000,165,7
0.05,10000,164,7
0.05,10000,163,7
0.05,10000,162,7
0.05,10000,161,7
0.05,10000,160,7
0.05,10000,159,7
0.05,10000,158,7
0.05,10000,157,7
0.05,10000,156,7
0.05,10000,155,7
0.05,10000,154,7
0.05,10000,153,7
0.05,10000,152,7
0.05,10000,151,8
0.05,10000,150,8
0.05,10000,149,8
0.05,10000,148,8
0.05,10000,147,8
0.05,10000,146,8
0.05,10000,145,8
0.05,10000,144,8
0.05,10000,143,8
0.05,10000,142,8
0.05,10000,141,8
0.05,10000,140,8
0.05,10000,139,8
0.05,10000,138,8
0.05,10000,137,8
0.05,10000,136,8
0.05,10000,135,8
0.05,10000,134,8
0.05,10000,133,8
0.05,10000,132,8
0.05,10000,131,8
0.05,10000,130,8
0.05,10000,129,8
0.05,10000,128,8
0.05,10000,127,8
0.05,10000,126,8
0.05,10000,125,8
0.05,10000,124,8
0.05,10000,123,8
0.05,10000,122,8
0.05,10000,121,8
0.05,10000,120,8
0.05,10000,119,8
0.05,10000,118,8
0.05,10000,117,8
0.05,10000,116,9
0.05,10000,115,9
0.05,10000,114,9
0.05,10000,113,9
0.05,10000,112,9
0.05,10000,111,9
0.05,10000,110,9
0.05,10000,109,9
0.05,10000,108,9
0.05,10000,107,9
0.05,10000,106,9
0.05,10000,105,9
0.05,10000,104,9
0.05,10000,103,9
0.05,10000,102,9
0.05,10000,101,9
0.05,10000,100,9
0.05,10000,99,9
0.05,10000,98,9
0.05,10000,97,9
0.05,10000,96,9
0.05,10000,95,9
0.05,10000,94,9
0.05,10000,93,9
0.05,10000,92,9
0.05,10000,91,9
0.05,10000,90,9
0.05,10000,89,9
0.05,10000,88,9
0.05,10000,87,10
0.05,10000,86,10
0.05,10000,85,10
0.05,10000,84,10
0.05,10000,83,10
0.05,10000,82,10
0.05,10000,81,10
0.05,10000,80,10
0.05,10000,79,10
0.05,10000,78,10
0.05,10000,77,10
0.05,10000,76,10
0.05,10000,75,10
0.05,10000,74,10
0.05,10000,73,10
0.05,10000,72,10
0.05,10000,71,10
0.05,10000,70,10
0.05,10000,69,10
0.05,10000,68,10
0.05,10000,67,10
0.05,10000,66,10
0.05,10000,65,10
0.05,10000,64,11
0.05,10000,63,11
0.05,10000,62,11
0.05,10000,61,11
0.05,10000,60,11
0.05,10000,59,11
0.05,10000,58,11
0.05,10000,57,11
0.05,10000,56,11
0.05,10000,55,11
0.05,10000,54,11
0.05,10000,53,11
0.05,10000,52,11
0.05,10000,51,11
0.05,10000,50,11
0.05,10000,49,11
0.05,10000,48,11
0.05,10000,47,11
0.05,10000,46,11
0.05,10000,45,11
0.05,10000,44,12
0.05,10000,43,12
0.05,10000,42,12
0.05,10000,41,12
0.05,10000,40,12
0.05,10000,39,12
0.05,10000,38,12
0.05,10000,37,12
0.05,10000,36,12
0.05,10000,35,12
0.05,10000,34,12
0.05,10000,33,12
0.05,10000,32,12
0.05,10000,31,12
0.05,10000,30,12
0.05,10000,29,12
0.05,10000,28,13
0.05,10000,27,13
0.05,10000,26,13
0.05,10000,25,13
0.05,10000,24,13
0.05,10000,23,13
0.05,10000,22,13
0.05,10000,21,13
0.05,10000,20,13
0.05,10000,19,13
0.05,10000,18,13
0.05,10000,17,13
0.05,10000,16,13
0.05,10000,15,13
0.05,10000,14,13
0.05,10000,13,14
0.05,10000,12,14
0.05,10000,11,14
0.05,10000,10,14
0.05,10000,9,14
0.05,10000,8,14
0.05,10000,7,14
0.05,10000,6,14
0.05,10000,5,14
0.05,10000,4,14
0.05,10000,3,14
0.05,10000,2,14
0.05,10000,1,15
