epsilon,N,k2,k1
0.1,10000,170,11
0.1,10000,169,11
0.1,10000,168,11
0.1,10000,167,11
0.1,10000,166,11
0.1,10000,165,11
0.1,10000,164,11
0.1,10000,163,11
0.1,10000,162,11
0.1,10000,161,11
0.1,10000,160,11
0.1,10000,159,11
0.1,10000,158,11
0.1,10000,157,11
0.1,10000,156,11
0.1,10000,155,12
0.1,10000,154,12
0.1,10000,153,12
0.1,10000,152,12
0.1,10000,151,12
0.1,10000,150,12
0.1,10000,149,12
0.1,10000,148,12
0.1,10000,147,12
0.1,10000,146,12
0.1,10000,145,12
0.1,10000,144,12
0.1,10000,143,12
0.1,10000,142,12
0.1,10000,141,12
0.1,10000,140,12
0.1,10000,139,12
0.1,10000,138,12
0.1,10000,137,12
0.1,10000,136,12
0.1,10000,135,13
0.1,10000,134,13
0.1,10000,133,13
0.1,10000,132,13
0.1,10000,131,13
0.1,10000,130,13
0.1,10000,129,13
0.1,10000,128,13
0.1,10000,127,13
0.1,10000,126,13
0.1,10000,125,13
0.1,10000,124,13
0.1,10000,123,13
0.1,10000,122,13
0.1,10000,121,13
0.1,10000,120,13
0.1,10000,119,13
0.1,10000,118,14
0.1,10000,117,14
0.1,10000,116,14
0.1,10000,115,14
0.1,10000,114,14
0.1,10000,113,14
0.1,10000,112,14
0.1,10000,111,14
0.1,10000,110,14
0.1,10000,109,14
0.1,10000,108,14
0.1,10000,107,14
0.1,10000,106,14
0.1,10000,105,14
0.1,10000,104,14
0.1,10000,103,15
0.1,10000,102,15
0.1,10000,101,15
0.1,10000,100,15
0.1,10000,99,15
0.1,10000,98,15
0.1,10000,97,15
0.1,10000,96,15
0.1,10000,95,15
0.1,10000,94,15
0.1,10000,93,15
0.1,10000,92,15
0.1,10000,91,15
0.1,10000,90,16
0.1,10000,89,16
0.1,10000,88,16
0.1,10000,87,16
0.1,10000,86,16
0.1,10000,85,16
0.1,10000,84,16
0.1,10000,83,16
0.1,10000,82,16
0.1,10000,81,16
0.1,10000,80,16
0.1,10000,79,16
0.1,10000,78,17
0.1,10000,77,17
0.1,10000,76,17
0.1,10000,75,17
0.1,10000,74,17
0.1,10000,73,17
0.1,10000,72,17
0.1,10000,71,17
0.1,10000,70,17
0.1,10000,69,17
0.1,10000,68,18
0.1,10000,67,18
0.1,10000,66,18
0.1,10000,65,18
0.1,10000,64,18
0.1,10000,63,18
0.1,10000,62,18
0.1,10000,61,18
0.1,10000,60,18
0.1,10000,59,19
0.1,10000,58,19
0.1,10000,57,19
0.1,10000,56,19
0.1,10000,55,19
0.1,10000,54,19
0.1,10000,53,19
0.1,10000,52,19
0.1,10000,51,20
0.1,10000,50,20
0.1,10000,49,20
0.1,10000,48,20
0.1,10000,47,20
0.1,10000,46,20
0.1,10000,45,20
0.1,10000,44,20
0.1,10000,43,21
0.1,10000,42,21
0.1,10000,41,21
0.1,10000,40,21
0.1,10000,39,21
0.1,10000,38,21
0.1,10000,37,22
0.1,10000,36,22
0.1,10000,35,22
0.1,10000,34,22
0.1,10000,33,22
0.1,10000,32,22
0.1,10000,31,22
0.1,10000,30,23
0.1,10000,29,23
0.1,10000,28,23
0.1,10000,27,23
0.1,10000,26,23
0.1,10000,25,24
0.1,10000,24,24
0.1,10000,23,24
0.1,10000,22,24
0.1,10000,21,24
0.1,10000,20,24
0.1,10000,19,25
0.1,10000,18,25
0.1,10000,17,25
0.1,10000,16,25
0.1,10000,15,26
0.1,10000,14,26
0.1,10000,13,26
0.1,10000,12,26
0.1,10000,11,26
0.1,10000,10,27
0.1,10000,9,27
0.1,10000,8,27
0.1,10000,7,27
0.1,10000,6,28
0.1,10000,5,28
0.1,10000,4,28
0.1,10000,3,28
0.1,10000,2,29
0.1,10000,1,29
