epsilon,N,k2,k1
0.1,10000,277,8
0.1,10000,276,8
0.1,10000,275,8
0.1,10000,274,8
0.1,10000,273,8
0.1,10000,272,8
0.1,10000,271,8
0.1,10000,270,8
0.1,10000,269,8
0.1,10000,268,8
0.1,10000,267,8
0.1,10000,266,8
0.1,10000,265,8
0.1,10000,264,8
0.1,10000,263,8
0.1,10000,262,8
0.1,10000,261,8
0.1,10000,260,8
0.1,10000,259,8
0.1,10000,258,8
0.1,10000,257,8
0.1,10000,256,8
0.1,10000,255,8
0.1,10000,254,8
0.1,10000,253,8
0.1,10000,252,8
0.1,10000,251,8
0.1,10000,250,8
0.1,10000,249,8
0.1,10000,248,8
0.1,10000,247,8
0.1,10000,246,8
0.1,10000,245,8
0.1,10000,244,8
0.1,10000,243,8
0.1,10000,242,8
0.1,10000,241,9
0.1,10000,240,9
0.1,10000,239,9
0.1,10000,238,9
0.1,10000,237,9
0.1,10000,236,9
0.1,10000,235,9
0.1,10000,234,9
0.1,10000,233,9
0.1,10000,232,9
0.1,10000,231,9
0.1,10000,230,9
0.1,10000,229,9
0.1,10000,228,9
0.1,10000,227,9
0.1,10000,226,9
0.1,10000,225,9
0.1,10000,224,9
0.1,10000,223,9
0.1,10000,222,9
0.1,10000,221,9
0.1,10000,220,9
0.1,10000,219,9
0.1,10000,218,9
0.1,10000,217,9
0.1,10000,216,9
0.1,10000,215,9
0.1,10000,214,9
0.1,10000,213,9
0.1,10000,212,9
0.1,10000,211,9
0.1,10000,210,9
0.1,10000,209,9
0.1,10000,208,9
0.1,10000,207,10
0.1,10000,206,10
0.1,10000,205,10
0.1,10000,204,10
0.1,10000,203,10
0.1,10000,202,10
0.1,10000,201,10
0.1,10000,200,10
0.1,10000,199,10
0.1,10000,198,10
0.1,10000,197,10
0.1,10000,196,10
0.1,10000,195,10
0.1,10000,194,10
0.1,10000,193,10
0.1,10000,192,10
0.1,10000,191,10
0.1,10000,190,10
0.1,10000,189,10
0.1,10000,188,10
0.1,10000,187,10
0.1,10000,186,10
0.1,10000,185,10
0.1,10000,184,10
0.1,10000,183,10
0.1,10000,182,10
0.1,10000,181,10
0.1,10000,180,10
0.1,10000,179,11
0.1,10000,178,11
0.1,10000,177,11
0.1,10000,176,11
0.1,10000,175,11
0.1,10000,174,11
0.1,10000,173,11
0.1,10000,172,11
0.1,10000,171,11
